"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,,142/WB,207080910,,,,165,169,334,,,
"",,,,TOTAL,,,,545,494,1039,,,
"",113,Boys Pry. School  138/WB(P)(Male),140/WB,207080901,,,,135,0,135,2,0,2
138/WB,207080907,,,,110,0,110,,,,,,
138/WB,207080908,,,,816,0,816,,,,,,
"",TOTAL,,,,1061,0,1061,,,,,,
140/WB,207080901,,,,135,0,135,,,,,,
"",,,138/WB,207080908,,,,816,0,816,,,
"",,,,TOTAL,,,,1061,0,1061,,,
"",115,Boys High. School 122/WB(P)(Male),122/WB,207080905,,,,418,0,418,2,0,2
"",,,122/WB,207080906,,,,586,0,586,,,
"",,,,TOTAL,,,,1004,0,1004,,,
"",116,Boys High. School 122/WB(P)(Female),122/WB,207080905,,,,0,303,303,0,1,1
"",,,122/WB,207080906,,,,0,455,455,,,
"",,,,TOTAL,,,,0,758,758,,,
"",117,Boys Pry. School  198/WB(P),198/WB,207080702,,,,635,496,1131,2,1,3
"",,,198/WB,207080703,,,,339,254,593,,,
"",,,,TOTAL,,,,974,750,1724,,,
"",118,"Govt Pry SchoolTahlee Wala",Dhund Pur Sultan,207080607,,,,262,230,492,1,1,2
"",TOTAL,,,,262,230,492,,,,,,
"",,,,TOTAL,,,,434,289,723,,,
"",120,Boys Pry. School  Kot Koria,Lakhan,207080803,,,,239,170,409,1,1,2
"",,,Kot Koria,207080804,,,,408,330,738,,,
"",,,,TOTAL,,,,647,500,1147,,,
"",121,Boys Pry. School 196/WB(P),196//WB,207080802,,,,578,421,999,1,1,2
"",,,,TOTAL,,,,578,421,999,,,
"",122,Girls Middle School Chakliar,Chakliar,207080801,,,,846,627,1473,1,1,2
"",,,,TOTAL,,,,846,627,1473,,,
"",123,Govt.Girls Pry School ali wah (Male)(P),علی واہ,207020504,,,,128,0,128,2,0,3
"علی واہ",207020505,,,,488,0,488,,,,,,
"علی واہ",207020506,,,,701,0,701,,,,,,
"",TOTAL,,,,1317,0,1317,,,,,,
"علی واہ",207020504,,,,0,87,87,,,,,,
"",,,علی واہ,207020506,,,,0,517,517,,,
"",,,,TOTAL,,,,0,978,978,,,
"",125,Govt. Ele. School Ali Wah(P),علی واہ,207020501,,,,364,277,641,1,1,2
"",,,علی واہ,207020502,,,,233,118,351,,,
"",,,,TOTAL,,,,597,395,992,,,
"",126,Govt. Ele. School Ali Wah(P),علی واہ,207020503,,,,362,261,623,1,1,2
"",,,علی واہ,207020507,,,,144,94,238,,,
"",,,,TOTAL,,,,506,355,861,,,
"",127,"Govt Girls High  School Umar Khichi(Combined)(P)",Jiven Khichi,207020101,,,,242,148,390,1,1,2
Jiven Khichi,207020102,,,,121,71,192,,,,,,
"",TOTAL,,,,363,219,582,,,,,,
Shaman,207020103,,,,486,0,486,,,,,,
Shaman,207020104,,,,240,0,240,,,,,,
"",,,,TOTAL,,,,1215,0,1215,,,
"",129,Govt Pry  School Shaman  (Male)(P),Shaman,207020106,,,,253,0,253,0,2,2
Shaman,207020107,,,,152,0,152,,,,,,
Shaman,207020108,,,,322,0,322,,,,,,
Shaman,207020109,,,,263,0,263,,,,,,
"",TOTAL,,,,990,0,990,,,,,,
Shaman,207020103,,,,0,370,370,,,,,,
Shaman,207020104,,,,0,183,183,,,,,,
Shaman,207020105,,,,0,370,370,,,,,,
Shaman,207020106,,,,0,183,183,,,,,,
Shaman,207020107,,,,0,121,121,,,,,,
Shaman,207020108,,,,0,244,244,,,,,,
Shaman,207020109,,,,0,211,211,,,,,,
"",131,Govt Boys Pry School Said Balouch (P),Said Balouch,207071007,,,,144,95,239,1,1,2
"",,,Tot Ssid Balouch,207071008,,,,434,350,784,,,
"",,,,,,,,578,445,1023,,,
"",132,"Boys High School 125/WB HighPortion (Male) (P)",Chah Sawa Ram,207071001,,,,145,0,145,2,0,2
"",,,125/WB,207071003,,,,647,0,647,,,
"",,,125/WB,207071004,,,,703,0,703,,,
"",,,,,,,,1495,0,1495,,,
"",133,"Boys High School 125/WB MiddlePortion (Female) (P)",Chah Sawa Ram,207071001,,,,0,103,103,0,2,2
125/WB,207071003,,,,0,424,424,,,,,,
125/WB,207071004,,,,0,549,549,,,,,,
"",,,,,0,1076,1076,,,,,,
131/WB,207071005,,,,166,129,295,,,,,,
131/WB,207071006,,,,647,494,1141,,,,,,
"",135,Boys Pry School 71/KB (P),71/KB,207071002,,,,658,479,1137,1,1,2
"",,,,,,,,658,479,1137,,,
"",136,Boys Pry School Othi,Othi,207070407,,,,148,92,240,2,1,3
"",,,Othi,207070408,,,,348,257,605,,,
"",,,Ahmad Arain,207070406,,,,212,112,324,,,
"",,,Chak Bakha,207070405,,,,232,200,432,,,
"",,,,,,,,940,661,1601,,,
"",137,Boys Pry School 113/WB (P),113/WB,207070403,,,,257,211,468,1,1,2
"",,,113/WB,207070404,,,,390,290,680,,,
"",,,,,,,,647,501,1148,,,
"",138,"Boys Higher Secondary School Mitru(P)",Mitru,207070106,,,,449,311,760,1,1,2
Mitru,207070107,,,,335,259,594,,,,,,
"",,,,,784,570,1354,,,,,,
Mitru,207070108,,,,436,307,743,,,,,,
"",139,"Boys Higher Secondary School Mitru(P)",Mitru,207070109,,,,220,155,375,1,1,2
"",,,,,,,,656,462,1118,,,
"",140,Boys Pry School Mitru (Male) (P),Mitru,207070110,,,,387,0,387,3,0,3
Mitru,207070112,,,,427,0,427,,,,,,
Mitru,207070113,,,,396,0,396,,,,,,
Mitru,207070114,,,,392,0,392,,,,,,
Mitru,207070115,,,,272,0,272,,,,,,
"",,,,,1874,0,1874,,,,,,
Mitru,207070110,,,,0,354,354,,,,,,
Mitru,207070112,,,,0,277,277,,,,,,
Mitru,207070113,,,,0,258,258,,,,,,
Mitru,207070114,,,,0,253,253,,,,,,
Mitru,207070115,,,,0,196,196,,,,,,
"",142,Girls High School Mitru (Combined) (P),Mitru,207070111,,,,478,428,906,1,1,2
"",,,,,,,,478,428,906,,,
"",143,Boys Pry School Aziz Qahum (P),Aziz Qahum,207070101,,,,525,380,905,1,1,2
"",,,Aziz Qahum,207070103,,,,306,221,527,,,
"",,,,,,,,831,601,1432,,,
"",144,Boys Pry School Aziz Qahum (P),Aziz Qahum,207070102,,,,714,563,1277,1,1,2
"",,,,,,,,714,563,1277,,,
"",145,Boys Pry School 171/WB (P),171/WB,207070504,,,,292,176,468,1,1,2
"",,,171/WB,207070505,,,,435,333,768,,,
"",,,,,,,,727,509,1236,,,
"",146,Boys Pry School 171/WB (P),171/WB,207070506,,,,468,365,833,1,1,2
"",,,,,468,365,833,,,,,,
173/WB,207070104,,,,489,357,846,,,,,,
173/WB,207070105,,,,344,250,594,,,,,,
"",,,,,,,,,,,,,,,,833,,607,,1440,,,,,,
"",,148,,Girls Pry School 165/WB (P),,165/WB,,207070501,,,,,,,,678,,543,,1221,,1,,1,,2
"",,,,,,,,,,,,,,,,678,,543,,1221,,,,,,
"",,149,,"Boys Pry School Shatab Garh (Male)(P)",,Shatab Garh,,207070304,,,,,,,,498,,0,,498,,3,,0,,3
"",,,,,,Shatab Garh,,207070306,,,,,,,,514,,0,,514,,,,,,
"",,,,,,,,,,,,,,,,1012,,0,,1012,,,,,,
"",,150,,"Boys Pry School Shatab Garh(Combined) (P)",,"بوائز پرائمری سکولشتاب گڑھ برائ ےانہMale",,207070305,,,,,,,,815,,637,,1452,,1,,1,,2
"",,,,,,,,,,,,,,,,815,,637,,1452,,,,,,
"",,151,,"Girls Middle School Shatab Garh(Female) (P)",,Shatab Garh,,207070304,,,,,,,,0,,422,,422,,0,,2,,2
"",Shatab Garh,,207070306,,,,,,,,0,,316,,316,,,,,,,,,,,
"",,,,,,,,,,,0,,738,,738,,,,,,,,,,,
"",119/WB,,207070301,,,,,,,,452,,321,,773,,,,,,,,,,,
"",119/WB,,207070303,,,,,,,,420,,261,,681,,,,,,,,,,,
"",,153,,Boys Pry School 119/WB (P),,"بوائز پرائمری سکولچک نم رب 119ڈبلیو  رن",,207070302,,,,,,,,467,,357,,824,,1,,1,,2
"",,,,,,,,,,,,,,,,467,,357,,824,,,,,,
"",,154,,Boys Middle School 107/WB (Male) (P),,107/WB,,207070201,,,,,,,,434,,0,,434,,2,,0,,2
"",,,,,,107/WB,,207070202,,,,,,,,761,,0,,761,,,,,,
"",,,,,,107/WB,,207070203,,,,,,,,301,,0,,301,,,,,,
"",,,,,,,,,,,,,,,,1496,,0,,1496,,,,,,
"",,155,,"Girls Middle School 107/WB (Female)(P)",,107/WB,,207070201,,,,,,,,0,,304,,304,,0,,2,,2
"",,,107/WB,,207070202,,,,,,,,0,,582,,582,,,,,,,,,
"",,,107/WB,,207070203,,,,,,,,0,,224,,224,,,,,,,,,
"",,,,,,,,,,,,,0,,1110,,1110,,,,,,,,,
"",,,111/WB,,207070204,,,,,,,,150,,0,,150,,,,,,,,,
"",111/WB,,207070205,,,,,,,,555,,0,,555,,,,,,,,,,,
"",111/WB,,207070206,,,,,,,,365,,0,,365,,,,,,,,,,,
"",111/WB,,207070207,,,,,,,,194,,0,,194,,,,,,,,,,,
"",,,,,,,,,,,,,,,,1264,,0,,1264,,,,,,
"",,157,,"Girls Elementary School 111/WB(Female) (P)",,111/WB,,207070204,,,,,,,,0,,119,,119,,0,,2,,2
"",,,,,,111/WB,,207070205,,,,,,,,0,,444,,444,,,,,,
"",,,,,,111/WB,,207070206,,,,,,,,0,,285,,285,,,,,,
"",,,,,,111/WB,,207070207,,,,,,,,0,,141,,141,,,,,,
"",,,,,,,,,,,,,,,,0,,989,,989,,,,,,
"",,158,,Boys Pry School 109/WB (P),,109/WB,,207070401,,,,,,,,551,,387,,938,,1,,1,,2
"",,,,,,109/WB,,207070402,,,,,,,,196,,121,,317,,,,,,
"",,,,,,,,,,,,,,,,747,,508,,1255,,,,,,
"",,159,,Boys Pry School 169/WB,,169/WB,,207070503,,,,,,,,539,,404,,943,,1,,1,,2
"",167/WB,,207070502,,,,,,,,281,,218,,499,,,,,,,,,,,
"",,,,,,,,,,,820,,622,,1442,,,,,,,,,,,
"",,,,,جمال ٹاون,,207100101,,,,350,,0,,350,,,,,,,,,,,
"",,"Govt. Maktab School Jani Shah(P)Wala (Male)",,,,,,عمر کالونی,,207100103,,,,125,,0,,125,,2,,0,,2
"",,,,,,,,محلہ دورہٹہ,,207100301,,,,169,,0,,169,,,,,,
"",,,,,,,,محلہ دورہٹہ,,207100302,,,,349,,0,,349,,,,,,
"",,,,,,,,,,TOTAL,,,,1445,,0,,1445,,,,,,
161,,"Govt. Girls P/S Dorahta Jamal Town(Female)(P)",,,,,,جمال ٹاون,,207100101,,,,0,,272,,272,,0,,2,,2
"",,,,,بس یت دورہٹہ,,207100102,,,,0,,304,,304,,,,,,,,,
"",,,,,عمر کالونی,,207100103,,,,0,,96,,96,,,,,,,,,
"",,,,,محلہ دورہٹہ,,207100301,,,,0,,135,,135,,,,,,,,,
"",,,,,محلہ دورہٹہ,,207100302,,,,0,,269,,269,,,,,,,,,
"",,,,,,,TOTAL,,,,0,,1076,,1076,,,,,,,,,
"",,,,,ریاض آاباد,,207100104,,,,345,,0,,345,,,,,,,,,
"",,,,,ریاض آاباد,,207100105,,,,453,,0,,453,,,,,,,,,
"",,,,,ریاض آاباد,,207100106,,,,337,,0,,337,,,,,,,,,
"",,,,,رسول پورہ,207100304,,320,0,320,,,
"",,,,,,TOTAL,,1777,0,1777,,,
"",163,Govt. Boys College Mailsi (Male)(P),,,ریاض آاباد ملتان روڑ,207100201,,421,377,798,1,1,2
"",,,,,مراد آباد,207100107,,50,35,85,,,
"",,,,,مراد آباد,207100108,,8,0,8,,,
"",,,,,مراد آباد,207100109,,46,25,71,,,
"",,,,,,TOTAL,,525,437,962,,,
"",164,Govt. Boys College Mailsi (Female)(P),,,ریاض آاباد,207100104,,345,0,345,0,3,3
"",,ریاض آاباد,207100105,,453,0,453,,,,,,
"",,ریاض آاباد,207100106,,337,0,337,,,,,,
"",,امام آباد,207100303,,322,0,322,,,,,,
"",,رسول پورہ,207100304,,320,0,320,,,,,,
"",,,TOTAL,,1777,0,1777,,,,,,
"",165,Surperior College Mailsi,,,رسول پورہ,207100203,,410,0,410,3,0,3
"",,,,,رسول پورہ,207100305,,422,0,422,,,
"",,,,,رسول پورہ,207100306,,368,0,368,,,
"",,,,,رسول پورہ,207100307,,190,0,190,,,
"",,,,,,TOTAL,,1790,0,1790,,,
"",166,Punjab College Multan Road Mailsi,,,محلہ دین پورہ,207100202,,0,358,358,0,2,2
"",,,,رسول پورہ,207100203,,0,354,354,,,,
"",,,,رسول پورہ,207100305,,0,365,365,,,,
"",,,,رسول پورہ,207100306,,0,327,327,,,,
"",,,,رسول پورہ,207100307,,0,172,172,,,,
"",,,,,TOTAL,,0,1576,1576,,,,
"",167,,,بہادر بلوچ,207100204,,1539,0,1539,2,0,2,
"",,دین پورہ,207100207,,0,0,0,,,,,,
"",,168,,,"Govt. Institute of  CommerceMailsi(Right Portion) Combined",,,,,,,,,اسلام پورہ,,,207100205,,,,,588,,508,,1096,,1,,1,,2
"",,,,,,,,,,,,,,اسلام پورہ,,,207100206,,,,,261,,239,,500,,,,,,
"",,,,,,,,,,,,,,,,TOTAL,,,,849,,747,,1596,,,,,,,,
"",,169,,,"Govt. Institute of Commerce Mailsi(Left Portion) Female",,,,,,,,,بہادر بلوچ,,,207100204,,,,0,,1210,,1210,,,0,,2,,2
"",,,,,,,,,,,,,دین پورہ,,,207100207,,,,0,,0,,0,,,,,,,,
"",,,,,,,,,,,,,,,,TOTAL,,,,0,,1210,,1210,,,,,,,,
"",,170,,Market Committee Mailsi (Male)(P),,,,,,مدینہ کالونی,,207100401,,,,251,,0,,251,,3,,0,,3,,,,,,
"",,,,,,,محلہ فاروق اعظم,,207100402,,,,382,,0,,382,,,,,,,,,,,,,,,
"",,,,,,,محلہ صدیق اک رب,,207100403,,,,361,,0,,361,,,,,,,,,,,,,,,
"",,,,,,,ٹلو پورہ,,207100404,,,,328,,0,,328,,,,,,,,,,,,,,,
"",,,,,,,ٹلو پورہ,,207100405,,,,328,,0,,328,,,,,,,,,,,,,,,
"",,,,,,,سعدی ٹاون,,207100502,,,,246,,0,,246,,,,,,,,,,,,,,,
"",,,,,,,,,TOTAL,,,,1896,,0,,1896,,,,,,,,,,,,,,,
"",,,,,,,مدینہ کالونی,,207100401,,,,0,,194,,194,,,,,,,,,,,,,,,
"",,Market Committee Mailsi (Female)(P),,,,,,محلہ فاروق اعظم,,207100402,,,,0,,298,,298,,0,,2,,2
"",,,,,,,,محلہ صدیق اک رب,,207100403,,,,0,,303,,303,,,,,,
"",,,,,,,,ٹلو پورہ,,207100404,,,,0,,297,,297,,,,,,
"",,,,,,,,ٹلو پورہ,,207100405,,,,0,,310,,310,,,,,,
"",,,,,,,,سعدی ٹاون,,207100502,,,,0,,206,,206,,,,,,
"",,,,,,,,,,TOTAL,,,,0,,1608,,1608,,,,,,
172,,Boys High School Mailsi (Male)(P),,,,,,ہری پورہ,,207100501,,,,521,,0,,521,,2,,0,,2
"",,,,,ٹلو پورہ,,207100503,,,,329,,0,,329,,,,,,,,,
"",,,,,ہری پورہ,,207100504,,,,389,,0,,389,,,,,,,,,
"",,,,,,,TOTAL,,,,1239,,0,,1239,,,,,,,,,
"",,,,,قاءداعظم روڑ,,207100505,,,,343,,0,,343,,,,,,,,,
"",,,,,ماڈل ٹاون,,207100506,,,,486,,0,,486,,,,,,,,,
"",,,,,ہری پورہ,,207100507,,,,80,,0,,80,,,,,,,,,
"",,,,,,TOTAL,,988,0,988,,,
"",174,Boys High School Mailsi (Female)(P),,,ہری پورہ,207100501,,0,416,416,0,3,3
"",,ٹلو پورہ,207100503,,0,298,298,,,,,,
"",,ہری پورہ,207100504,,0,330,330,,,,,,
"",,قاءداعظم روڑ,207100505,,0,306,306,,,,,,
"",,ماڈل ٹاون,207100506,,0,347,347,,,,,,
"",,ہری پورہ,207100507,,0,91,91,,,,,,
"",,ہری پورہ,207100508,,0,76,76,,,,,,
"",,,TOTAL,,0,1864,1864,,,,,,
"",,لال جہانیہ,207110201,,483,0,483,,,,,,
"",,عقب رحمانیہ بازار,207110202,,605,0,605,,,,,,
"",,مدینہ ٹاون,207110302,,487,0,487,,,,,,
"",,مدنیہ ٹاون,207110406,,309,0,309,,,,,,
"",176,"Municipal Public Library Mailsi(Female)(P)",,,لال جہانیہ,207110201,,0,427,427,0,2,2
"",,,,,عقب رحمانیہ بازار,207110202,,0,519,519,,,
"",,,,,مدینہ ٹاون,207110302,,0,381,381,,,
"",,,,,مدنیہ ٹاون,207110406,,0,267,267,,,
"",,,,,107,TOTAL,,0,1594,1594,,,
"",177,Office of the Tehsildar Mailsi (Male)(P),,,رحمانیہ بازار,207110203,,408,0,408,2,0,2
"",,,,,محلہ افعانان,207110204,,561,0,561,,,
"",,,,,,TOTAL,,969,0,969,,,
"",178,"Govt. Girls High School Mailsi NewBlock (New Campus) (Female)(P)",,,رحمانیہ بازار,207110203,,0,331,331,0,1,1
"",,محلہ افعانان,207110204,,0,525,525,,,,,,
"",,,TOTAL,,0,856,856,,,,,,
"",,محلہ محمدی,207110101,,297,0,297,,,,,,
"",,مدنیہ ٹاون,207110301,,682,0,682,,,,,,
"",,محلہ فریدی,207110303,,596,0,596,,,,,,
"",,,,,,,,,,,,TOTAL,,,,1575,,0,,1575,,,,,,
"",,180,,"Boys High School Colony Road MailsiPry. Portion (Female)(P)",,,,,,محلہ محمدی,,207110101,,,,0,,249,,249,,0,,2,,2
"",,,,,,,,,,مدنیہ ٹاون,,207110301,,,,0,,580,,580,,,,,,
"",,,,,,,,,,محلہ فریدی,,207110303,,,,0,,476,,476,,,,,,
"",,,,,,,,,,,,TOTAL,,,,0,,1305,,1305,,,,,,
"",,181,,"Boys Pry. School Dharam Pura(Male)(P)",,,,,,شمع سمینا,,207110102,,,,437,,0,,437,,2,,0,,2
"",,,,,ابوبکر کالونی,,207110103,,,,434,,0,,434,,,,,,,,,,,
"",,,,,محلہ حافظ آباد,,207110104,,,,670,,0,,670,,,,,,,,,,,
"",,,,,وھاڑی روڑ,,207110105,,,,247,,0,,247,,,,,,,,,,,
"",,,,,,,TOTAL,,,,1788,,0,,1788,,,,,,,,,,,
"",,,,,دھرم پورہ,,207110306,,,,478,,0,,478,,,,,,,,,,,
"",,,,,دھرم پورہ,,207110307,,,,363,,0,,363,,,,,,,,,,,
"",,,,,دھرم پورہ,,207110308,,,,517,,0,,517,,,,,,,,,,,
"",,183,,"Girls High School Ward No. 8, Mailsi(Male) (P)",,,,,,دھرم پورہ,,207110304,,,,221,,116,,337,,1,,1,,2
"",,,,,,,,,,دھرم پورہ,,207110305,,,,633,,429,,1062,,,,,,
"",,,,,,,,,,,,TOTAL,,,,854,,545,,1399,,,,,,
"",,184,,"Girls Pry. School Dharam Pura(Female)(P)",,,,,,شمع سمینا,,207110102,,,,0,,308,,308,,0,,2,,2
"",,,,,,,,,,ابوبکر کالونی,,207110103,,,,0,,336,,336,,,,,,
"",,,,,,,,,,محلہ حافظ آباد,,207110104,,,,0,,517,,517,,,,,,
"",,,,,,,,,,وھاڑی روڑ,,207110105,,,,0,,221,,221,,,,,,
"",,,,,,,,,,,,TOTAL,,,,0,,1382,,1382,,,,,,
"",,185,,"Govt High Schhol Colony Road, Mailsi(Female) (P)",,,,,,دھرم پورہ,,207110306,,,,0,,352,,352,,0,,2,,2
"",,,,,,,دھرم پورہ,,207110307,,,,0,,281,,281,,,,,,,,,
"",,,,,,,دھرم پورہ,,207110308,,,,0,,423,,423,,,,,,,,,
"",,,,,,,,,TOTAL,,,,0,,1056,,1056,,,,,,,,,
"",,,,,,,محلہ افعانان,,207110205,,,,521,,0,,521,,,,,,,,,
"",,,,,محلہ  رشیف پورہ,,207110206,,,,517,,0,,517,,,,,,,,,,,
"",,,,Aloom Mailsi (P) Male,,,,,,محلہ افعانان,,207110401,,,,453,,0,,453,,,,,,
"",,,,,,,,,,,,TOTAL,,,,1491,,0,,1491,,,,,,
"",,187,,"Girls Middle School Mailsi Near TubeWell No. 8 Near Tube well (Female)(P)",,,,,,محلہ افعانان,,207110205,,,,0,,494,,494,,0,,2,,2
"",,,,,,,,,,محلہ  رشیف پورہ,,207110206,,,,0,,405,,405,,,,,,
"",,,,,,,,,,محلہ افعانان,,207110401,,,,0,,366,,366,,,,,,
"",,,,,,,,,,,,TOTAL,,,,0,,1265,,1265,,,,,,
"",,188,,"Boys Pry. School Malik wala No. 4Mailsi (Male)(P)",,,,,,ک یچ آبادی,,207110402,,,,549,,0,,549,,3,,0,,3
"",,,,,محلہ شنکرپورہ,,207110403,,,,394,,0,,394,,,,,,,,,,,
"",,,,,محلہ مغل پورہ,,207110404,,,,538,,0,,538,,,,,,,,,,,
"",,,,,میلسی میوسپل کمی یت,,207110405,,,,440,,0,,440,,,,,,,,,,,
"",,,,,,,TOTAL,,,,1921,,0,,1921,,,,,,,,,,,
"",,,,,ک یچ آبادی,,207110402,,,,0,,429,,429,,,,,,,,,,,
"",,,,,محلہ شنکرپورہ,,207110403,,,,0,,363,,363,,,,,,,,,,,
"",,,,,,,,,,میلسی میوسپل کمی یت,,207110405,,,,0,,356,,356,,,,,,
"",,,,,,,,,,,,TOTAL,,,,0,,1630,,1630,,,,,,
"",,190,,"Boys Degree College Mailsi(Computer Lab) (Male)(P)",,میلسی,,207010102,,,,,,,,129,,0,,129,,2,,0,,2
"",,,,,,میلسی,,207010103,,,,,,,,119,,0,,119,,,,,,
"",,,,,,میلسی,,207010104,,,,,,,,377,,0,,377,,,,,,
"",,,,,,میلسی,,207010105,,,,,,,,657,,0,,657,,,,,,
"",,,,,,,,TOTAL,,,,,,,,1282,,0,,1282,,,,,,
"",,191,,"Boys Degree College Mailsi(Computer Lab) (Male)(P)",,میلسی,,207010101,,,,,,,,169,,0,,169,,2,,0,,2
"",میلسی,,207010110,,,,,,,,616,,0,,616,,,,,,,,,,,
"",میلسی,,207010111,,,,,,,,158,,0,,158,,,,,,,,,,,
"",,,TOTAL,,,,,,,,943,,0,,943,,,,,,,,,,,
"",میلسی,,207010101,,,,,,,,0,,102,,102,,,,,,,,,,,
"",میلسی,,207010102,,,,,,,,0,,103,,103,,,,,,,,,,,
"",192,"Boys Degree College Mailsi         (MainHall) (Female)(P)",میلسی,207010104,,,,0,259,259,0,2,2
"",,,میلسی,207010105,,,,0,443,443,,,
"",,,میلسی,207010110,,,,0,345,345,,,
"",,,میلسی,207010111,,,,0,100,100,,,
"",,,,TOTAL,,,,0,1431,1431,,,
"",193,"Boys Degree College Mailsi(Degree Portion) (Male)(P)",میلسی,207010106,,,,396,0,396,2,0,2
"",,,میلسی,207010107,,,,519,0,519,,,
"",,,میلسی,207010108,,,,317,0,317,,,
"",,,,TOTAL,,,,1232,0,1232,,,
"",194,"Boys Degree College Mailsi(Degree Portion) (Male)(P)",میلسی,207010109,,,,336,0,336,2,0,2
"میلسی",207010112,,,,620,0,620,,,,,,
"میلسی",207010113,,,,365,0,365,,,,,,
"",TOTAL,,,,1321,0,1321,,,,,,
"میلسی",207010106,,,,0,258,258,,,,,,
"",195,"Boys Degree College Mailsi         (InterPortion) (Female)(P)",میلسی,207010107,,,,0,366,366,0,3,3
"",,,میلسی,207010108,,,,0,264,264,,,
"",,,میلسی,207010109,,,,0,241,241,,,
"",,,میلسی,207010112,,,,0,416,416,,,
"",,,میلسی,207010113,,,,0,277,277,,,
"",,,,TOTAL,,,,0,1822,1822,,,
"",196,Govt Elementary  School Dhoda(P),Dhoda,207010208,,,,569,428,997,1,1,2
"",,,,TOTAL,,,,569,428,997,,,
"",197,Govt Pry School Bahadur Wala (P),Bahadur Baloch,207010201,,,,523,369,892,2,1,3
Bahadur Baloch,207010202,,,,443,326,769,,,,,,
"",TOTAL,,,,966,695,1661,,,,,,
Kumbar,207010205,,,,493,0,493,,,,,,
Kumbar,207010206,,,,476,0,476,,,,,,
"",,,,TOTAL,,,,1749,0,1749,,,
"",199,Girls Pry . School Kumbar (Female),Kumbar,207010205,,,,0,316,316,0,2,2
"",,,Kumbar,207010206,,,,0,364,364,,,
"",,,Kumbar,207010207,,,,0,593,593,,,
"",,,,TOTAL,,,,0,1273,1273,,,
"",200,"Govt Pry. School Shah Sattar East Side(Male)(P)",Shah Sattar,207050804,,,,410,0,410,3,0,3
Shah Sattar,207050805,,,,377,0,377,,,,,,
Shah Sattar,207050806,,,,384,0,384,,,,,,
Shah Sattar,207050807,,,,509,0,509,,,,,,
Shah Sattar,207050808,,,,135,0,135,,,,,,
"",TOTAL,,,,1815,0,1815,,,,,,
Shah Sattar,207050804,,,,0,254,254,,,,,,
Shah Sattar,207050805,,,,0,240,240,,,,,,
Shah Sattar,207050806,,,,0,215,215,,,,,,
"",,Side (Female)(P),Shah Sattar,207050807,,,,0,366,366,,,
"",,,Shah Sattar,207050808,,,,0,79,79,,,
"",,,,TOTAL,,,,0,1154,1154,,,
"",202,Govt Pry. School Niaz Pur(P)(Male),Niaz Pur,207050506,,,,519,0,519,2,0,2
"",,,Hardo Gumb,207050507,,,,657,0,657,,,
"",,,"Chak Niaz PurFateh",207050510,,,,11,0,11,,,
"",,,,TOTAL,,,,1187,0,1187,,,
"",203,Govt Pry. School Niaz Pur(P)(Female),Niaz Pur,207050506,,,,0,403,403,0,1,1
Hardo Gumb,207050507,,,,0,478,478,,,,,,
"Chak Niaz PurFateh",207050510,,,,0,2,2,,,,,,
"",TOTAL,,,,0,883,883,,,,,,
"Chak Niaz PurGhulam Rasool",207050508,,,,0,0,0,,,,,,
"Chak Niaz Pur GulChand Shaheed",207050509,,,,58,48,106,,,,,,
"",,,,TOTAL,,,,612,513,1125,,,
"",205,Govt Pry. School Kot Atta,Tail Charagh,207051104,,,,465,319,784,1,1,2
"",,,Tail Charagh,207051105,,,,295,229,524,,,
"",,,,TOTAL,,,,760,548,1308,,,
"",206,Govt Pry. School Chak Bassi,Chak Bassi,207051003,,,,84,42,126,1,1,2
"",,,Chak Bassi,207051004,,,,559,439,998,,,
"",,,,TOTAL,,,,643,481,1124,,,
"",207,Govt Pry. School Ashraf Shah,Ashraf Shah,207051002,,,,597,479,1076,1,1,2
"",,,,TOTAL,,,,597,479,1076,,,
"",208,"Govt High School Kot Muzaffar HighPortion (Male)(P)",Kot Muzaffar,207050501,,,,130,0,130,1,0,1
Kot Muzaffar,207050502,,,,137,0,137,,,,,,
Kot Muzaffar,207050503,,,,569,0,569,,,,,,
"",TOTAL,,,,836,0,836,,,,,,
"",209,"Govt High School Kot MuzaffarMiddle Portion (Male)(P)",Kot Muzaffar,207050505,,,,232,0,232,2,0,2
"",,,,TOTAL,,,,1062,0,1062,,,
"",210,"Govt High School Kot Muzaffar Pry.(Female)(P)",Kot Muzaffar,207050501,,,,0,103,103,0,2,2
"",,,Kot Muzaffar,207050502,,,,0,98,98,,,
"",,,Kot Muzaffar,207050503,,,,0,411,411,,,
"",,,Kot Muzaffar,207050504,,,,0,695,695,,,
"",,,Kot Muzaffar,207050505,,,,0,166,166,,,
"",,,,TOTAL,,,,0,1473,1473,,,
"",211,"Govt. Girls Pry. School Kikri KalanCentre (Girdawar)",Kikri Kalan,207050801,,,,329,213,542,2,1,3
Kikri Kalan,207050802,,,,513,345,858,,,,,,
Kikri Kalan,207050803,,,,138,74,212,,,,,,
"",TOTAL,,,,980,632,1612,,,,,,
Dhamaki,207010301,,,,488,0,488,,,,,,
