"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
68,"House of Education Dhok Hafiz, Chaklala(Male)(T)","ڈھوک راجہ محمد خان، شاہ خالدکالونی، چکلالہ",110020349,-,-,,353,0,353,,,0
"",,ڈھوک راجہ محمد خان، چکلالہ,110020350,-,-,,208,0,208,,,0
"",,فضل ٹاؤن فیز،2 ماڈل ٹاؤن,110020352,-,-,,314,0,314,,,0
"",,فضل ٹاؤن فیز،2 ماڈل ٹاؤن,110020353,-,-,,265,0,265,,,0
Total,,,,,,,1140,0,1140,2,0,2
69,"House of Education Dhok Hafiz, Chaklala(Female)(T)","،ڈھوک خافظ، شاہ خالد کالونیچکلالہ",110020346,-,-,,0,239,239,,,0
"",,"،ڈھوک خافظ، شاہ خالد کالونیچکلالہ",110020347,-,-,,0,239,239,,,0
"",,"،ڈھوک خافظ، شاہ خالد کالونیچکلالہ",110020380,-,-,,0,173,173,,,0
"",,"ڈھوک راجہ محمد خان، شاہ خالدکالونی، چکلالہ",110020348,-,-,,0,333,333,,,0
Total,,,,,,,,984,984,0,2,2
70,"House of Education Dhok Hafiz, Chaklala(Female)(T)","ڈھوک راجہ محمد خان، شاہ خالدکالونی، چکلالہ",110020349,-,-,,0,285,285,,,0
"",,ڈھوک راجہ محمد خان، چکلالہ,110020350,-,-,,0,185,185,,,0
"",,فضل ٹاؤن فیز،2 ماڈل ٹاؤن,110020352,-,-,,0,274,274,,,0
"",,فضل ٹاؤن فیز،2 ماڈل ٹاؤن,110020353,-,-,,0,238,238,,,0
Total,,,,,,,0,982,982,0,2,2
71,"Al Faisal Public School, St.No.6 ShahKhalid Colony, Chaklala (Male)(T)",شاہ خالد کالونی، چکلالہ,110020340,-,-,,279,0,279,,,0
"",,شاہ خالد کالونی، چکلالہ,110020341,-,-,,213,0,213,,,0
"",,نذیر آباد، شاہ خالد کالونی، چکلالہ,110020342,-,-,,389,0,389,,,0
Total,,,,,,,881,0,881,2,0,2
72,"Al Faisal Public School, St.No.6 ShahKhalid Colony, Chaklala (Male)(T)","فیصل ٹاؤن، شاہ خالد کالونی، تاجآباد",110020343,-,-,,451,0,451,,,0
"",,"فیصل ٹاؤن، شاہ خالد کالونی، تاجآباد",110020344,-,-,,331,0,331,,,0
"",,شاہ خالد کالونی، چکلالہ,110020345,-,-,,638,0,638,,,0
Total,,,,,,,1420,0,1420,3,0,3
"شاہ خالد کالونی، چکلالہ",110020340,-,-,,0,304,304,,,0,,
"شاہ خالد کالونی، چکلالہ",110020341,-,-,,0,169,169,,,0,,
Total,,,,,,,0,850,850,0,2,2
74,"Al Faisal Public School, St.No.6 ShahKhalid Colony, Chaklala (Female)(T)","فیصل ٹاؤن، شاہ خالد کالونی، تاجآباد",110020343,-,-,,0,363,363,,,0
"","فیصل ٹاؤن، شاہ خالد کالونی، تاجآباد",110020344,-,-,,0,335,335,,,0,
"",شاہ خالد کالونی، چکلالہ,110020345,-,-,,0,570,570,,,0,
Total,,,,,,,0,1268,1268,0,2,2
75,"Angel Inn Public School St. No.5, ShahFaisal Colony, Chaklala (combined)(P)","،شاہ فیصل ٹاؤن، فیصل کالونیچکلالہ",110020334,-,-,,367,326,693,,,0
"","،شاہ فیصل ٹاؤن، فیصل کالونیچکلالہ",110020379,-,-,,290,254,544,,,0,
"","،شاہ فیصل ٹاؤن، شاہ خالد کالونیچکلالہ",110020335,-,-,,464,384,848,,,0,
"","،شاہ فیصل ٹاؤن، شاہ خالد کالونیچکلالہ",110020336,-,-,,289,251,540,,,0,
Total,,,,,,,1410,1215,2625,3,2,5
76,"Govt.  College For Women, Dhoke MunshiKhan (combined)(P)",ڈھوک منشی,110020326,-,-,,484,510,994,,,0
"",ڈھوک منشی,110020327,-,-,,390,322,712,,,0,
"",ڈھوک منشی,110020328,-,-,,370,273,643,,,0,
Total,,,,,,,1244,1105,2349,2,2,4
77,"Govt. Primery School, Dhoke MunshiKhan (combined)(P)",آرمی کالونی، چکلالہ,110020329,-,-,,151,130,281,,,0
"",ڈھوک منشی,110020330,-,-,,242,210,452,,,0,
Total,,,,,,,393,340,733,1,1,2
78,"Govt.  College For Women, Dhoke MunshiKhan (Male)(P)","- بنارس کالونی، رحمت آبادچکلالہ",110020311,-,-,,220,0,220,,,0
"",رحمت آباد آرمی سکیم نمبر2,110020317,-,-,,201,0,201,,,0,
"",رحمت آباد آرمی سکیم نمبر2,110020366,-,-,,176,0,176,,,0,
"",رحمت آباد آرمی سکیم نمبر2,110020367,-,-,,128,0,128,,,0,
"",رحمت آباد آرمی سکیم نمبر2,110020368,-,-,,123,0,123,,,0,
Total,,,,,,,848,0,848,2,0,2
79,"Govt. College For Women, Dhoke MunshiKhan (Female)(P)","- بنارس کالونی، رحمت آبادچکلالہ",110020311,-,-,,0,201,201,,,0
"",رحمت آباد آرمی سکیم نمبر2,110020317,-,-,,0,158,158,,,0,
"",رحمت آباد آرمی سکیم نمبر2,110020366,-,-,,0,138,138,,,0,
"",رحمت آباد آرمی سکیم نمبر2,110020367,-,-,,0,140,140,,,0,
"",رحمت آباد آرمی سکیم نمبر2,110020368,-,-,,0,64,64,,,0,
Total,,,,,,,0,701,701,0,1,1
"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020331,-,-,,186,200,386,,,0,,
"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020332,-,-,,253,169,422,,,0,,
80,"Govt.Degree Girls College RehmatabadDhoke Munshi KHan  (combined)(T)","،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020372,-,-,,172,139,311,,,0
"",,"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020373,-,-,,185,138,323,,,0
"",,"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020374,-,-,,180,91,271,,,0
"",,"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020375,-,-,,134,91,225,,,0
"",,"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020376,-,-,,137,90,227,,,0
"",,"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020377,-,-,,145,98,243,,,0
"",,"،محلہ غوثیہ، ڈھوک کمال دینچکلالہ- ڈھوک انور کچی آبادی",110020378,-,-,,111,92,203,,,0
Total,,,,,,,1674,1242,2916,3,2,5
81,"Govt. Girls Primery School, Dhoke KalaKhan (combined)(P)",گلریز کالونی نمبر1چکلالہ,110020301,-,-,,706,688,1394,,,0
"",,جبار کالونی،  رحمت آباد چکلالہ,110020302,-,-,,304,246,550,,,0
"",,جبار کالونی،  رحمت آباد چکلالہ,110020303,-,-,,91,86,177,,,0
Total,,,,,,,1101,1020,2121,2,2,4
82,"Fauji Foundation Model School, AfzalTown (Male)(P)",رحمت آباد بلاک اے,110020304,-,-,,377,0,377,,,0
"",,رحمت آباد بلاک اے,110020363,-,-,,97,0,97,,,0
"",,جبار کالونی/افضل ٹاؤن,110020307,-,-,,558,0,558,,,0
"",,جبار کالونی/افضل ٹاؤن,110020308,-,-,,297,0,297,,,0
Total,,,,,,,1329,0,1329,2,0,2
83,"Basic Health Unit, Rehmatabad, Chaklala(Female)(P)",رحمت آباد بلاک اے,110020304,-,-,,0,338,338,,,0
"",,رحمت آباد بلاک اے,110020363,-,-,,0,107,107,,,0
"",,جبار کالونی/افضل ٹاؤن,110020307,-,-,,0,465,465,,,0
"",,جبار کالونی/افضل ٹاؤن,110020308,-,-,,0,243,243,,,0
Total,,,,,,,0,1153,1153,0,2,2
84,"Govt. Boys High School, Rehmatabad,(Male)(P)","بنارس کالونی گلی نمبر 1 تا 5رحمت آباد",110020309,-,-,,472,0,472,,,0
"",,"بنارس کالونی گلی نمبر 1 تا 5رحمت آباد",110020310,-,-,,196,0,196,,,0
Total,,,,,,,668,0,668,1,0,1
85,"Govt. Boys High School, Rehmatabad,(Male)(P)",رحمت آباد سی بلاک,110020315,-,-,,288,0,288,,,0
"",,رحمت آباد سی بلاک,110020316,-,-,,244,0,244,,,0
"",,رحمت آباد ڈی بلاک,110020319,-,-,,339,0,339,,,0
Total,,,,,,,871,0,871,2,0,2
86,"Govt. Boys High School, Rehmatabad(Female)(P)","بنارس کالونی گلی نمبر 1 تا 5رحمت آباد",110020310,-,-,,0,185,185,,,0
"",,رحمت آباد سی بلاک,110020315,-,-,,0,284,284,,,0
"",,رحمت آباد سی بلاک,110020316,-,-,,0,145,145,,,0
"",,رحمت آباد ڈی بلاک,110020319,-,-,,0,268,268,,,0
Total,,,,,,,0,1266,1266,0,2,2
87,"Govt. Boys High School, Rehmatabad(Male)(P)",رحمت آباد سی بلاک,110020312,-,-,,531,0,531,,,0
"",,رحمت آباد سی بلاک,110020364,-,-,,259,0,259,,,0
"",,رحمت آباد بلاک ڈی,110020318,-,-,,243,0,243,,,0
Total,,,,,,,1033,0,1033,2,0,2
88,"Govt. Boys High School, Rehmatabad(Male)(P)",رحمت آباد بلاک ڈی,110020369,-,-,,185,0,185,,,0
"",,رحمت آباد بلاک ڈی,110020370,-,-,,283,0,283,,,0
"",,رحمت آباد بلاک ڈی,110020371,-,-,,169,0,169,,,0
"",,رحمت آباد بی بلاک,110020314,-,-,,187,0,187,,,0
"",,رحمت آباد بی بلاک,110020365,-,-,,106,0,106,,,0
Total,,,,,,,930,0,930,2,0,2
89,"Govt. Girls High School, Rehmatabad(Female)(P)",رحمت آباد سی بلاک,110020312,-,-,,0,449,449,,,0
"",,رحمت آباد سی بلاک,110020364,-,-,,0,291,291,,,0
"",,رحمت آباد بلاک ڈی,110020318,-,-,,0,247,247,,,0
Total,,,,,,,,987,987,0,2,2
90,"Govt. Girls High School, Rehmatabad(Female)(P)",رحمت آباد بلاک ڈی,110020369,-,-,,0,190,190,,,0
"",,رحمت آباد بلاک ڈی,110020370,-,-,,0,190,190,,,0
"",,رحمت آباد بلاک ڈی,110020371,-,-,,0,106,106,,,0
"",,رحمت آباد ڈی بلاک,110020314,-,-,,0,182,182,,,0
"",,رحمت آباد بی بلاک,110020365,-,-,,0,82,82,,,0
Total,,,,,,,0,750,750,0,2,2
91,"Govt. Boys High School, Rehmatabad(Male)(P)",رحمت آباد ای ایف بلاک,110020320,-,-,,480,0,480,,,0
"",,رحمت آباد ای ایف بلاک,110020321,-,-,,598,0,598,,,0
"",,رحمت آباد بلاک ای,110020322,-,-,,433,0,433,,,0
Total,,,,,,,1511,0,1511,3,0,3
92,"Govt. Boys High School, Rehmatabad(Female)(P)",رحمت آباد ای ایف بلاک,110020320,-,-,,0,389,389,,,0
"",,رحمت آباد ای ایف بلاک,110020321,-,-,,0,486,486,,,0
"",,رحمت آباد بلاک ای,110020322,-,-,,0,348,348,,,0
Total,,,,,,,0,1223,1223,0,2,2
93,"Govt. Boys High School, Rehmatabad(Male)(P)","- محلہ رحمت آباد، بی بلاکچکلالہ",110020305,-,-,,1031,0,1031,,,0
Total,,,,,,,1031,0,1031,2,0,2
94,"Govt. Boys High School, Rehmatabad(Male)(P)","- محلہ رحمت آباد، بی بلاکچکلالہ",110020306,-,-,,698,0,698,,,0
Total,,,,,,,698,0,698,1,0,1
95,"Govt. Girls High School, Rehmatabad(Female)(P)","- محلہ رحمت آباد، بی بلاکچکلالہ",110020305,-,-,,0,879,879,,,0
96,"Govt. Girls High School, Rehmatabad(Female)(P)","- محلہ رحمت آباد، بی بلاکچکلالہ",110020306,-,-,,0,669,669,,,0
Total,,,,,,,0,669,669,0,1,1
97,"Fauji Foundation Vocational Center,Rehmatabad, Chaklala (Male)(P)",رحمت آباد بی بلاک,110020313,-,-,,250,0,250,,,0
Total,,,,,,,250,0,250,1,0,1
98,"Fauji Foundation Vocational Center,Rehmatabad, Chaklala (Male)(P)",رحمت آبار بلاک ای,110020323,-,-,,344,0,344,,,0
"",,ڈھوک منشی,110020324,-,-,,466,0,466,,,0
"",,ڈھوک منشی,110020325,-,-,,266,0,266,,,0
Total,,,,,,,1076,0,1076,2,0,2
99,"Fauji Foundation Vocational Center,Rehmatabad, Chaklala (Female)(P)",رحمت آباد بی بلاک,110020313,-,-,,0,195,195,,,0
"",,رحمت آبار بلاک ای,110020323,-,-,,0,293,293,,,0
"",,ڈھوک منشی,110020324,-,-,,0,362,362,,,0
"",,ڈھوک منشی,110020325,-,-,,0,210,210,,,0
Total,,,,,,,0,1060,1060,0,2,2
"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated",,No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"FG Boys high School Darayabad(Male)(P).",-,-,دریا آباد گوالمنڈی,111030401,,541,0,541,0,0,0
"",,-,-,گوالمنڈی / مدن پورہ,111030402,,576,0,576,0,0,0
"",,-,-,"پرانی گوالمنڈی ۔ کمہارروڈ",111030403,,565,0,565,0,0,0
Total,,,,,,,1682,0,"1,682",3,0,3
2,"FG Boys Middle School Darayabad(Female)(P).",-,-,دریا آباد گوالمنڈی,111030401,,0,502,502,0,0,0
"",,-,-,گوالمنڈی / مدن پورہ,111030402,,0,529,529,0,0,0
"",,-,-,"پرانی گوالمنڈی ۔ کمہارروڈ",111030403,,0,511,511,0,0,0
Total,,,,,,,0,1542,"1,542",0,3,3
3,"FG Boys High School Darayabad(Male)(P).",-,-,"پرانی گوالمنڈی  /سرسید سٹریٹ",111030404,,665,0,665,0,0,0
"",,-,-,"گوالمنڈی ۔ احاطہچوہدری کرم الٰہی",111030405,,422,0,422,0,0,0
Total,,,,,,,1087,0,"1,087",2,0,2
"-",-,"پرانی گوالمنڈی  /سرسید سٹریٹ",111030404,,0,589,589,0,0,0,,
Total,,,,,,,0,987,987,0,2,2
5,"FG Boys High School Darayabad(Male)(P).",-,-,"لاجیت نگر، دریا آباد ،گوالمنڈی",111030501,,405,0,405,0,0,0
"",,-,-,"محلہ جمعیت القریش ،گوالمنڈی",111030502,,593,0,593,0,0,0
"",,-,-,"کچی آبادی ۔ اکبر لائن ،گوالمنڈی",111030505,,324,0,324,0,0,0
Total,,,,,,,1322,0,"1,322",2,0,2
6,"FG Girls High Schol Darayabad NewPublic Chakki (Female)(P).",-,-,"لاجیت نگر، دریا آباد ،گوالمنڈی",111030501,,0,381,381,0,0,0
"",,-,-,"محلہ جمعیت القریش ،گوالمنڈی",111030502,,0,546,546,0,0,0
"",,-,-,"کرتار سنگھہ روڈ، دریاآباد، گوالمنڈی",111030503,,0,557,557,0,0,0
"",,-,-,آنند پورہ گوالمنڈی,111030504,,0,478,478,0,0,0
"",,-,-,"کچی آبادی ۔ اکبر لائن ،گوالمنڈی",111030505,,0,278,278,0,0,0
Total,,,,,,,0,2240,"2,240",0,4,4
7,"FG Boys High School Darayabad(Male)(P).",-,-,"کرتار سنگھہ روڈ، دریاآباد، گوالمنڈی",111030503,,608,0,608,0,0,0
"",,-,-,آنند پورہ گوالمنڈی,111030504,,523,0,523,0,0,0
Total,,,,,,,1131,0,"1,131",2,0,2
8,"F. G Girls High School, Kashmir Road,Kamran Markeet Saddar (Male)",-,-,"احاطہ مٹھو خان ،ریلوے روڈ، آدم جیروڈ، صدر",111030601,,452,0,452,0,0,0
"",,-,-,بابو محلہ، صدر,111030602,,474,0,474,0,0,0
"",,-,-,"احاطہ مٹھو خان، آدمجی روڈ، میسی گیٹ -احاطہ چراغ دین صدر",111030603,,97,0,97,0,0,0
Total,,,,,,,1023,0,"1,023",2,0,2
9,"F. G Girls High School, Kashmir Road,Kamran Markeet Saddar (Female)",-,-,"احاطہ مٹھو خان ،ریلوے روڈ، آدم جیروڈ، صدر",111030601,,0,393,393,0,0,0
"",,-,-,بابو محلہ، صدر,111030602,,0,483,483,0,0,0
"",,-,-,"احاطہ مٹھو خان، آدمجی روڈ، میسی گیٹ -احاطہ چراغ دین صدر",111030603,,0,71,71,0,0,0
Total,,,,,,,0,947,947,0,2,2
10,"Govt Denny's Higher Secondary SchoolNear Kamran Market(Male)",-,-,"کشمیر روڈ، مریڑچوک، سیف الله روڈ",111030604,,676,0,676,0,0,0
"-",-,"مال روڈ، سعدی روڈ ،پونچھہ ہاؤس",111030605,,226,0,226,0,0,0,,
"-",-,"بھوسہ منڈی / کوئلہسینٹر/ صدر بازار",111030701,,286,0,286,0,0,0,,
"-",-,"بھوسہ منڈی ۔ دھرمپورہ، صدر بازار",111030702,,362,0,362,0,0,0,,
11,"Govt. Shoukat Girls Elementary SchoolEhata Mitto Khan, Saddar, Rawalpindi(Female)",-,-,"کشمیر روڈ، مریڑچوک، سیف الله روڈ",111030604,,0,646,646,0,0,0
"",,-,-,"مال روڈ، سعدی روڈ ،پونچھہ ہاؤس",111030605,,0,191,191,0,0,0
"",,-,-,"بھوسہ منڈی / کوئلہسینٹر/ صدر بازار",111030701,,0,242,242,0,0,0
"",,-,-,"بھوسہ منڈی ۔ دھرمپورہ، صدر بازار",111030702,,0,359,359,0,0,0
Total,,,,,,,0,1438,"1,438",0,3,3
12,"F.G Junior Public School, Mehfooz Road,Station Road (Male)",-,-,"محلہ شیخ فضل الٰہیصدر بازار",111030703,,1139,0,"1,139",0,0,0
"",,-,-,"محلہ شیخ فضل الٰہیصدر بازار",111030705,,477,0,477,0,0,0
"",,-,-,"کنٹونمنٹ بورڈ ہسپتالصدر ایریا",111030704,,625,0,625,0,0,0
Total,,,,,,,2241,0,"2,241",4,0,4
13,"F.G Junior Public School, Mehfooz Road,Station Road (Female)",-,-,"محلہ شیخ فضل الٰہیصدر بازار",111030703,,0,1040,"1,040",0,0,0
"",,-,-,"محلہ شیخ فضل الٰہیصدر بازار",111030705,,0,420,420,0,0,0
"",,-,-,"کنٹونمنٹ بورڈ ہسپتالصدر ایریا",111030704,,0,569,569,0,0,0
Total,,,,,,,0,2029,"2,029",0,4,4
14,"FG. Girls High School ch. Iqbal RoadOctori No 22 (Male)(P)",-,-,فیصل کالونی، ٹینچ بھاٹہ,111040101,,345,0,345,0,0,0
"",,-,-,"نوروز آباد، میراںبخش، ٹینچ غربی آبادی",111040102,,358,0,358,0,0,0
"",,-,-,پرانی آبادی، ٹینچ بھاٹہ,111040103,,386,0,386,0,0,0
Total,,,,,,,1089,0,"1,089",2,0,2
15,"FG. Girls High school Ch. Iqbal RoadOctori No 22 (Female)(P)",-,-,فیصل کالونی، ٹینچ بھاٹہ,111040101,,0,335,335,0,0,0
"",,-,-,"نوروز آباد، میراںبخش، ٹینچ غربی آبادی",111040102,,0,345,345,0,0,0
"",,-,-,پرانی آبادی، ٹینچ بھاٹہ,111040103,,0,415,415,0,0,0
Total,,,,,,,0,1095,"1,095",0,2,2
16,"FG. Girls High School ch. Iqbal RoadOctori No 22 (Male)(P)",-,-,"فیصل سٹریٹ، پرانی  /نئی آبادی ٹینچ بھاٹہ",111040104,,560,0,560,0,0,0
"",,-,-,آبادی نمبر ،2 ٹینچ بھاٹہ,111040105,,391,0,391,0,0,0
Total,,,,,,,951,0,951,2,0,2
17,"FG. Girls High school Ch. Iqbal RoadOctori No 22 (Female)(P)",-,-,"فیصل سٹریٹ، پرانی  /نئی آبادی ٹینچ بھاٹہ",111040104,,0,525,525,0,0,0
"-",-,آبادی نمبر ،2 ٹینچ بھاٹہ,111040105,,0,377,377,0,0,0,,
18,"Govt.Liaqat Girls High School Iqbal Road(Male)(P)",-,-,"محلہ نمبردارں، پرانیآبادی، ٹینچ بھاٹہ",111040201,,533,0,533,0,0,0
"",,-,-,"پرانی آبادی، اقبالھوٹل، محبوب سٹریٹ",111040202,,522,0,522,0,0,0
Total,,,,,,,1055,0,"1,055",2,0,2
19,"Govt.Liaqat Girls High School Iqbal Road(Male)(P)",-,-,"مرزا سٹریٹ، محبوبسٹریٹ",111040203,,497,0,497,0,0,0
"",,-,-,"فیصل کالونی، گلی نمبر1تا3",111040204,,336,0,336,0,0,0
"",,-,-,"فیصل کالونی، راجہعمران سٹریٹ",111040205,,61,0,61,0,0,0
Total,,,,,,,894,0,894,2,0,2
20,"Govt.Liaqat Girls High School Iqbal Road(Female)(P)",-,-,"محلہ نمبردارں، پرانیآبادی، ٹینچ بھاٹہ",111040201,,0,490,490,0,0,0
"",,-,-,"پرانی آبادی، اقبالھوٹل، محبوب سٹریٹ",111040202,,0,509,509,0,0,0
Total,,,,,,,0,999,999,0,2,2
21,"Govt.Liaqat Girls High School Iqbal Road(Female)(P)",-,-,"مرزا سٹریٹ، محبوبسٹریٹ",111040203,,0,522,522,0,0,0
"",,-,-,"فیصل کالونی، گلی نمبر1تا3",111040204,,0,332,332,0,0,0
"",,-,-,"فیصل کالونی، راجہعمران سٹریٹ",111040205,,0,59,59,0,0,0
Total,,,,,,,0,913,913,0,2,2
22,"Roots School System, 22 Harlay Street(Male)(T).",-,-,"چونگی نمبر ،22دھمیال روڈ",111040206,,503,0,503,0,0,0
"",,-,-,"عامل کالونی، عثمانیہمحلہ، چونگی نمبر22",111040207,,738,0,738,0,0,0
Total,,,,,,,1241,0,"1,241",2,0,2
23,"Roots School System 22 Harlay Street(Female)(T).",-,-,"چونگی نمبر ،22دھمیال روڈ",111040206,,0,421,421,0,0,0
"",,-,-,"عامل کالونی، عثمانیہمحلہ، چونگی نمبر22",111040207,,0,742,742,0,0,0
Total,,,,,,,0,1163,"1,163",0,2,2
24,"Govt Boys High School Iqbal Road TenchBhatta RWP (Male)(P)",-,-,ٹینچ بھاٹہ آبادی 1،2,111040301,,360,0,360,0,0,0
"",,-,-,"ٹینچ بھاٹہ آبادی 2،چوہان منزل",111040302,,563,0,563,0,0,0
Total,,,,,,,923,0,923,2,0,2
25,"Govt Boys High School Iqbal Road TenchBhatta RWP (Male)(P)",-,-,"ٹینچ بھاٹہ گلی 1 تا  ،3محلہ نمبرداراں",111040303,,741,0,741,0,0,0
"",,-,-,ٹینچ بھاٹہ آبادی 3,111040304,,460,0,460,0,0,0
Total,,,,,,,1201,0,"1,201",2,0,2
26,"Adnan Model High School, Nasir StreetTench Bhatta (FM)(T)",-,-,ٹینچ بھاٹہ آبادی 1،2,111040301,,,359,359,0,0,0
"-",-,"ٹینچ بھاٹہ آبادی 2،چوہان منزل",111040302,,,520,520,0,0,0,,
""
27,"Adnan Model High School, Nasir StreetTench Bhatta (FM)(T)",-,-,"ٹینچ بھاٹہ گلی 1 تا  ،3محلہ نمبرداراں",111040303,,,690,690,0,0,0
"",,-,-,ٹینچ بھاٹہ آبادی 3,111040304,,,414,414,0,0,0
Total,,,,,,,,1104,"1,104",0,2,2
28,"ALLAMA IQBAL MISSION HIGH SCHOOLUSMAN STREET TENCH BHATTA RWP(Male)",-,-,"ٹینچ بھاٹہ آبادی نمبر،3،2 میر زمان کالونی",111040305,,559,0,559,0,0,0
"",,-,-,"ٹینچ بھاٹہ آبادی نمبر  3میر زمان کالونی",111040306,,425,0,425,0,0,0
"",,-,-,"ٹینچ بھاٹہ آبادی  ،3سٹریٹ 8 تا 10",111040307,,411,0,411,0,0,0
Total,,,,,,,1395,0,"1,395",2,0,2
29,"Govt. Rehmat Jan School, Gulshan-e-MirZaman, Tench Bhatta, Rwp, (FM)",-,-,"ٹینچ بھاٹہ آبادی نمبر،3،2 میر زمان کالونی",111040305,,,483,483,0,0,0
