"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
272,"Government Boys  High SchoolKashmirColony Cantonment (Female)","Allama IqbalTownCantonment",165020701,,0,686,686,0,3,3
"",,"Allama IqbalTown, KhushiTownCantonment",165020702,,0,232,232,,,
"",,,,,0,918,918,,,
273,"Government Boys Primary SchoolGhulabpura (Male)","Mohallah GulabPura",165020703,,346,0,346,3,0,3
"",,"Gulab PuraMohallah Gujjran",165020704,,1102,0,1102,,,
"",,,,,1448,0,1448,,,
274,"Government Girls Primary SchoolGhulabpura (Female)","Mohallah GulabPuraCantonment",165020703,,0,269,269,0,3,3
"",,"Gulab PuraMohallah GujjranCantonment",165020704,,0,871,871,,,
"",,,,,0,1140,1140,,,
Total :,,,,,226046,170596,396642,423,360,783
"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
1,2,3,4,5,6,7,8,9,10,11
1,"MC Boys Middle School No.4 Sherwala Bagh (Male)","Kasera Bazar,GaliBhabarrian",164060101,,564,0,564,3,0,3
"",,"Kasera Bazar,GaliThathiarrian/Mancharian",164060102,,658,0,658,,,
"",,"Kasera Bazar,GaliThathiarrian/Mancharian, SaidNagar",164060103,,436,0,436,,,
"",,"Said Nagari,Bazar GTRoad,Rail Bazar",164060104,,289,0,289,,,
"",,,,,1947,0,1947,,,
2,"MC Girls Middle School No.4 Sherwala Bagh (Female)","Kasera Bazar,GaliBhabarrian",164060101,,0,448,448,0,3,3
"",,"Kasera Bazar,GaliThathiarrian/Mancharian",164060102,,0,546,546,,,
"",,"Kasera Bazar,GaliThathiarrian/Mancharian, SaidNagar",164060103,,0,398,398,,,
"",,"Said Nagari,Bazar GTRoad,Rail Bazar",164060104,,0,215,215,,,
"",,,,,0,1607,1607,,,
3,"PTCL Office, GT Road, Grw(Combined)",Sialkoti Gate,164060201,,321,230,551,1,1,2
"",,Rail Bazar,164060202,,367,236,603,,,
"",,Bazar Almarian,164060203,,50,35,85,,,
"",,,,,738,501,1239,,,
4,"Office of Circle Registrar,Cooperative SCOS (Male)",Barri Civil Line,164060301,,599,0,599,2,0,2
New Civil Line,164070106,,709,0,709,,,,,
"",,,1308,0,1308,,,,,
1,2,3,4,5,6,7,8,9,10,11
5,"Punjab College of Commerce, CivilLines, Gujranwala (Female)",Barri Civil Line,164060301,,0,493,493,0,2,2
"",,New Civil Line,164070106,,0,657,657,,,
"",,,,,0,1150,1150,,,
6,"Technical Training InstitutePasroor Road Gujranwala (Male)",Civil Line,164060302,,583,0,583,4,0,4
"",,B- Setllite Town,164060303,,1129,0,1129,,,
"",,Kamboh Colony,164060304,,612,0,612,,,
"",,,,,2324,0,2324,,,
7,"Govt Primary School, Civil Lines,Gujranwala (Female)",Civil Line,164060302,,0,499,499,0,4,4
"",,B- Setllite Town,164060303,,0,1011,1011,,,
"",,Kamboh Colony,164060304,,0,564,564,,,
"",,,,,0,2074,2074,,,
8,"Civil Defence Office near TehsilOffice (Male)",Davi wala Talab,164060401,,639,0,639,3,0,3
"",,"Police LineKamboh Colony",164060402,,404,0,404,,,
"",,"Jinnah Town,Kashmir Colony",164060405,,726,0,726,,,
"",,,,,1769,0,1769,,,
9,"GGHS, Badar-ud-Din, Small CivilLines, Gujranwala (Female)",Davi wala Talab,164060401,,0,493,493,0,3,3
"",,"Police LineKamboh Colony",164060402,,0,384,384,,,
"",,"Jinnah Town,Kashmir Colony",164060405,,0,606,606,,,
"",,,,,0,1483,1483,,,
10,"Tehsil Office, Near Civil DefenceOffice, Gujranwala (Male)",Kashmir Colony,164060403,,527,0,527,2,0,2
"",,Kashmir Colony,164060404,,313,0,313,,,
"",,Kashmir Colony,164060406,,443,0,443,,,
"",,,,,1283,0,1283,,,
11,"GGHS, Badar-ud-Din, Small CivilLines, Gujranwala (Female)",Kashmir Colony,164060403,,0,436,436,0,2,2
"",,Kashmir Colony,164060404,,0,250,250,,,
"",,Kashmir Colony,164060406,,0,374,374,,,
"",,,,,0,1060,1060,,,
12,"Civil Veterinary HospitalPondanwala Chowk (Male)","Main Dina NagarRd Pondanwala",164060501,,518,0,518,2,0,2
"",,"Ghazi Pura,Mandir Bavi wala",164060504,,451,0,451,,,
"",,"Ghazi Pura,Mandir Bavi wala",164060506,,355,0,355,,,
"",,,,,1324,0,1324,,,
13,"Civil Veterinary HospitalPondanwala Chowk (Female)","Main Dina NagarRd Pondanwala",164060501,,0,421,421,0,2,2
"Ghazi Pura,Mandir Bavi wala",164060504,,0,335,335,,,,,
"Ghazi Pura,Mandir Bavi wala",164060506,,0,254,254,,,,,
"",,,0,1010,1010,,,,,
1,2,3,4,5,6,7,8,9,10,11
14,Govt. P/S Shamsabad (Male),"Shamas AbadFeroz wala Road",164060502,,569,0,569,2,0,2
"",,Shamas Abad,164060503,,633,0,633,,,
"",,Shamas Abad,164060505,,219,0,219,,,
"",,,,,1421,0,1421,,,
15,Govt. P/S Shamsabad (Female),"Shamas AbadFeroz wala Road",164060502,,0,453,453,0,2,2
"",,Shamas Abad,164060503,,0,470,470,,,
"",,Shamas Abad,164060505,,0,228,228,,,
"",,,,,0,1151,1151,,,
16,"Government Iqbal High School G.TRoad Gujranwala (Male)","Durra Phatic,Bhatia nagar",164070101,,174,0,174,3,0,3
"",,"Asghar Ali RoadCampNo.4",164070102,,668,0,668,,,
"",,"New Civil LineBehindOld Bijili Ghar",164070105,,773,0,773,,,
"",,,,,1615,0,1615,,,
17,"Government Iqbal High School G.TRoad Gujranwalal (Female)","Durra Phatic,Bhatia nagar",164070101,,0,151,151,0,2,2
"",,"Asghar Ali RoadCampNo.4",164070102,,0,578,578,,,
"",,"New Civil LineBehindOld Bijili Ghar",164070105,,0,658,658,,,
"",,,,,0,1387,1387,,,
18,"Government Najeeb Memorial GirlsHigh School(Male)","Asghar Ali RoadCampNew Civil",164070103,,514,0,514,3,0,3
"",,"Asghar Ali RoadCampNew Civil",164070104,,554,0,554,,,
"",,"Asghar Ali RoadCampNew Civil",164070107,,417,0,417,,,
"",,,,,1485,0,1485,,,
19,"Government Najeeb Memorial GirlsHigh School (Female)","Asghar Ali RoadCampNew Civil",164070103,,0,440,440,0,2,2
"Asghar Ali RoadCampNew Civil",164070104,,0,516,516,,,,,
"Asghar Ali RoadCampNew Civil",164070107,,0,407,407,,,,,
"",,,0,1363,1363,,,,,
1,2,3,4,5,6,7,8,9,10,11
20,"Govt. FC Islamia H/S,Gondlanwala Adda, Grw (Male)","Moh. FaisalAbad",164070201,,762,0,762,4,0,4
"",,"Moh. FaisalAbad",164070202,,534,0,534,,,
"",,"Moh. FaisalAbad",164070203,,471,0,471,,,
"",,Moh. Noor Bawa,164320303,,728,0,728,,,
"",,,,,2495,0,2495,,,
21,"Govt. Girls E/S MC No. 3, Gali No.6, Moh. Faisalabad, Grw (Female)","Moh. FaisalAbad",164070201,,0,634,634,0,4,4
"",,"Moh. FaisalAbad",164070202,,0,444,444,,,
"",,"Moh. FaisalAbad",164070203,,0,400,400,,,
"",,Moh. Noor Bawa,164320303,,0,606,606,,,
"",,,,,0,2084,2084,,,
22,"Govt. Comprehensive H/S, Grw(Male)",Rattanwala,164080101,,855,0,855,2,0,2
"",,"Rattanwala,Model Town",164080104,,562,0,562,,,
"",,,,,1417,0,1417,,,
23,"Govt. Comprehensive H/S, Grw(Female)",Rattanwala,164080101,,0,738,738,0,2,2
"",,"Rattanwala,Model Town",164080104,,0,515,515,,,
"",,,,,0,1253,1253,,,
24,"O/O XEN Public Health Eng:Division Model Town (Male)",Rattanwala,164080102,,1011,0,1011,3,0,3
"",,Rattanwala,164080103,,506,0,506,,,
"",,,,,1517,0,1517,,,
25,"O/O D.O. Public Health Eng:Division Model Town (Female)",Rattanwala,164080102,,0,839,839,0,2,2
"",,Rattanwala,164080103,,0,428,428,,,
"",,,,,0,1267,1267,,,
26,"Pakistan Bait-ul-Maal School,Model Town, Grw (Male)",B-Model Town,164080201,,317,0,317,2,0,2
"",,"Moh. FaisalAbad",164080202,,577,0,577,,,
"",,,,,894,0,894,,,
27,"Tanzeem-ul-Islam EducationCenter, 122-Model Town, Grw(Female)",B-Model Town,164080201,,0,286,286,0,2,2
"",,"Moh. FaisalAbad",164080202,,0,521,521,,,
"",,,,,0,807,807,,,
28,"Govt. Comprehensive H/S, Grw(Male)","Moh. FaisalAbad",164080203,,474,0,474,3,0,3
"Moh. FaisalAbad,Gondalanwala Road",164080204,,485,0,485,,,,,
B- Model Town,164080302,,289,0,289,,,,,
"",,,1248,0,1248,,,,,
"Moh. FaisalAbad",164080203,,0,424,424,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Moh. FaisalAbad,Gondalanwala Road",164080204,,0,409,409,,,
"",,B- Model Town,164080302,,0,303,303,,,
"",,,,,0,1136,1136,,,
30,"Jamiat-ul-Binaat Girls College,Model Town, Gujranwala(Combined)",B- Model Town,164080301,,603,512,1115,2,2,4
"",,B- Model Town,164080306,,643,583,1226,,,
"",,,,,1246,1095,2341,,,
31,"Govt. Girls Degree College, ModelTown, Grw (Male)",Model Town,164080303,,760,0,760,3,0,3
"",,Model Town,164080304,,947,0,947,,,
"",,,,,1707,0,1707,,,
32,"Govt. Girls Degree College, ModelTown, Grw (Female)",Model Town,164080303,,0,668,668,0,3,3
"",,Model Town,164080304,,0,866,866,,,
"",,,,,0,1534,1534,,,
33,"Govt. Girls Degree College, ModelTown, Grw (Combined)",Model Town,164080305,,894,809,1703,2,2,4
"",,,,,894,809,1703,,,
34,"Quid e Azam Divisional PublicSchool, Gujranwala (SeniorPortion) (Male)",DC Road,164100101,,120,0,120,4,0,4
"",,Sui Gass Road,164100102,,813,0,813,,,
"",,Sui Gass Link,164100702,,704,0,704,,,
"",,Amir Park,164100704,,219,0,219,,,
"",,Sui Gass Link,164100710,,558,0,558,,,
"",,,,,2414,0,2414,,,
35,"Quid e Azam Divisional PublicSchool, Gujranwala (SeniorPortion) (Female)",DC Road,164100101,,0,99,99,4,0,4
"",,Sui Gass Road,164100102,,0,718,718,,,
"",,Sui Gass Link,164100702,,0,558,558,,,
"",,Amir Park,164100704,,0,182,182,,,
"",,Sui Gass Link,164100710,,0,358,358,,,
"",,,,,0,1915,1915,,,
36,"Quid e Azam Divisional PublicSchool, Gujranwala (CollegePortion) (Male)",DC Road,164100103,,305,0,305,3,0,3
"",,DC Road,164100106,,895,0,895,,,
"",,Sui Gass,164100703,,360,0,360,,,
"",,,,,1560,0,1560,,,
37,"Quid e Azam Divisional PublicSchool, Gujranwala (CollegePortion) (Female)",DC Road,164100103,,0,296,296,0,3,3
"",,DC Road,164100106,,0,842,842,,,
"",,Sui Gass,164100703,,0,285,285,,,
"",,,,,0,1423,1423,,,
38,"Government College ofTechnology, near D.C Road (Male)",DC Road,164100104,,821,0,821,2,0,2
"Wazir / HamidColony",164100105,,523,0,523,,,,,
"",,,1344,0,1344,,,,,
DC Road,164100104,,0,798,798,,,,,
"Wazir / HamidColony",164100105,,0,487,487,,,,,
1,2,3,4,5,6,7,8,9,10,11
40,"Sardar Grammer SchoolCommissioner, Road (Male)","Amir Park LalaZarColony",164100201,,1474,0,1474,4,0,4
"",,Amir Park,164100203,,612,0,612,,,
"",,,,,2086,0,2086,,,
41,"Dar-Arqam School mainCommissioner Road (Female)","Amir Park LalaZarColony",164100201,,0,1269,1269,0,3,3
"",,Amir Park,164100203,,0,477,477,,,
"",,,,,0,1746,1746,,,
42,"Govt. Girls P/S Usman Colony(Combined)",Amir Park,164100202,,1138,885,2023,2,2,4
"",,,,,1138,885,2023,,,
43,"JADEED DASTAGIR SCHOOL,DC ROAD GRW (Male) (JuniorCampus)",Amir Park,164100204,,717,0,717,3,0,3
"",,"Sangum DCRoad AfzalColony RailwayRd",164100206,,529,0,529,,,
"",,Amir Park,164100207,,242,0,242,,,
"",,,,,1488,0,1488,,,
44,"JADEED DASTAGIR SCHOOL,DC ROAD GRW (Female)(Junior Campus)",Amir Park,164100204,,0,600,600,0,2,2
"",,"Sangum DCRoad AfzalColony RailwayRd",164100206,,0,468,468,,,
"",,Amir Park,164100207,,0,207,207,,,
"",,,,,0,1275,1275,,,
45,"JADEED DASTAGIR SCHOOL,DC ROAD GRW(Junior Campus) (Combined)",Amir Park,164100205,,708,588,1296,2,2,4
"",,Amir Park,164100208,,527,425,952,,,
"",,,,,1235,1013,2248,,,
46,"Pakistan School NationalTown(Male)","National TownMughalChowk",164100302,,1093,0,1093,4,0,4
"National TownMughalChowk",164100303,,189,0,189,,,,,
"National TownMughalChowk",164100304,,404,0,404,,,,,
"Bheko puraKachiFatomand",164110401,,368,0,368,,,,,
"",,,2054,0,2054,,,,,
"National TownMughalChowk",164100302,,0,788,788,,,,,
"National TownMughalChowk",164100303,,0,136,136,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"National TownMughalChowk",164100304,,0,335,335,,,
"",,"Bheko puraKachiFatomand",164110401,,0,249,249,,,
"",,,,,0,1508,1508,,,
48,"Govt Girls H/S Bheekopura, KachaFatomand (Male)","Usman Colony/MughalChown",164100305,,357,0,357,4,0,4
"",,"Usman Colony/MughalChown",164100306,,512,0,512,,,
"",,Gali Dr. Ali Jan,164100401,,837,0,837,,,
"",,"Shan MarriageHall",164100402,,683,0,683,,,
"",,Christian Abadi,164100403,,349,0,349,,,
"",,,,,2738,0,2738,,,
49,"Govt Girls H/S Bheekopura, KachaFatomand (Female)","Usman Colony/MughalChown",164100305,,0,305,305,0,4,4
"",,"Usman Colony/MughalChown",164100306,,0,459,459,,,
"",,Gali Dr. Ali Jan,164100401,,0,696,696,,,
"",,"Shan MarriageHall",164100402,,0,520,520,,,
"",,Christian Abadi,164100403,,0,283,283,,,
"",,,,,0,2263,2263,,,
50,"University of Central Punjab,Gujranwala (Male)","Ghusia Abad/Muafi walaChowk",164100501,,496,0,496,4,0,4
"",,"GhusiaAbad/FaisalTown/AshrafColony/UsmanChowk",164100507,,1514,0,1514,,,
"",,,,,2010,0,2010,,,
51,"University of Central Punjab,Gujranwala (Female)","Ghusia Abad/Muafi walaChowk",164100501,,0,350,350,0,3,3
"GhusiaAbad/FaisalTown/AshrafColony/UsmanChowk",164100507,,0,1087,1087,,,,,
"",,,0,1437,1437,,,,,
1,2,3,4,5,6,7,8,9,10,11
52,"Office of Union Council, near FDmodel School, Kacha Fatomand(Combined)","Imran ColonyFatomand",164100502,,398,252,650,2,2,4
"",,"Imran ColonyFatomand",164100503,,562,374,936,,,
"",,"Imran ColonyFatomand",164100506,,178,163,341,,,
"",,"Imran ColonyFatomand",164100508,,148,107,255,,,
"",,,,,1286,896,2182,,,
53,"Govt.FD Boys High School,Fatomand (Male)","Goray walaKhoh/ IslamiaPark",164100504,,496,0,496,4,0,4
"",,"China WalaiAbadiIslamia Park,Jinnah Rd",164100505,,518,0,518,,,
"",,"China WalaiAbadiIslamia Park,Jinnah Rd",164100509,,671,0,671,,,
"",,"Goray walaKhoh/ IslamiaPark",164100510,,290,0,290,,,
"",,,,,1975,0,1975,,,
54,"Govt.FD Boys High School,Fatomand (Female)","Goray walaKhoh/ IslamiaPark",164100504,,496,0,496,0,3,3
"",,"China WalaiAbadiIslamia Park,Jinnah Rd",164100505,,518,0,518,,,
"",,"China WalaiAbadiIslamia Park,Jinnah Rd",164100509,,671,0,671,,,
"",,"Goray walaKhoh/ IslamiaPark",164100510,,290,0,290,,,
"",,,,,1975,0,1975,,,
55,"Board of Intermediate & SecondaryEducation, (Combined)","Shaukat AbatMalik Park",164100602,,455,423,878,2,2,4
"Islamia ParkAllah WalaBazar",164100603,,335,230,565,,,,,
"Islamia ParkAllah WalaBazar",164100606,,298,244,542,,,,,
"",,,1088,897,1985,,,,,
1,2,3,4,5,6,7,8,9,10,11
56,"Jadeed Dastgir High School,Jinnah Road Campus, Gujranwala(Male)",Madinna Colony,164100604,,1294,0,1294,3,0,3
"",,Sui Gass,164100607,,137,0,137,,,
"",,Amir Park,164100608,,335,0,335,,,
"",,,,,1766,0,1766,,,
57,"Jadeed Dastgir High School,Jinnah Road Campus, Gujranwala(Female)",Madinna Colony,164100604,,0,1047,1047,0,3,3
"",,Sui Gass,164100607,,0,95,95,,,
"",,Amir Park,164100608,,0,282,282,,,
"",,,,,0,1424,1424,,,
58,"Board of Intermediate & SecondaryEducation, (Male)",Faiz Alam Town,164100601,,1050,0,1050,4,0,4
"",,"Shaukat AbatMalik Park",164100605,,391,0,391,,,
"",,Sui Gass Link,164100701,,205,0,205,,,
"",,Sui Gass Link,164100707,,287,0,287,,,
"",,Sui Gass Link,164100708,,253,0,253,,,
"",,,,,2186,0,2186,,,
59,"Board of Intermediate & SecondaryEducation, (Female)",Faiz Alam Town,164100601,,0,829,829,4,0,4
"",,"Shaukat AbatMalik Park",164100605,,0,250,250,,,
"",,Sui Gass Link,164100701,,0,191,191,,,
"",,Sui Gass Link,164100707,,0,290,290,,,
"",,Sui Gass Link,164100708,,0,179,179,,,
"",,,,,0,1739,1739,,,
60,"Board of Intermediate & SecondaryEducation, (Male)",Sui Gass Link,164100705,,790,0,790,3,0,3
"",,Sui Gass Road,164100706,,995,0,995,,,
"",,Sui Gass Road,164100709,,67,0,67,,,
"",,,,,1852,0,1852,,,
61,"Board of Intermediate & SecondaryEducation, (Female)",Sui Gass Link,164100705,,0,650,650,0,3,3
"",,Sui Gass Road,164100706,,0,768,768,,,
"",,Sui Gass Road,164100709,,0,59,59,,,
"",,,,,0,1477,1477,,,
62,Govt.Boys H/S Lohianwala (Male),Lohianwala,164100801,,437,0,437,4,0,4
"",,Lohianwala,164100802,,1538,0,1538,,,
"",,,,,1975,0,1975,,,
63,"Govt. GIrls H/S Lohianwala(Female)",Lohianwala,164100801,,0,1150,1150,0,2,2
"",,Lohianwala,164100802,,0,370,370,,,
"",,,,,0,1520,1520,,,
64,Govt.Boys H/S Lohianwala (Male),Lohianwala,164100803,,562,0,562,3,0,3
"Lohianwala(Moh. Goreywala)",164100804,,175,0,175,,,,,
Lohianwala,164100805,,401,0,401,,,,,
Lohianwala,164100806,,472,0,472,,,,,
"",,,1610,0,1610,,,,,
1,2,3,4,5,6,7,8,9,10,11
65,"Govt. GIrls H/S Lohianwala(Female)",Lohianwala,164100803,,0,391,391,0,2,2
"",,"Lohianwala(Moh. Goreywala)",164100804,,0,135,135,,,
"",,Lohianwala,164100805,,0,321,321,,,
"",,Lohianwala,164100806,,0,403,403,,,
"",,,,,0,1250,1250,,,
66,"Govt. Apprentice Ship TriningInstitute G.T.Road Lohianwala(Male)",Lohianwala,164100807,,810,0,810,3,0,3
"",,Lohianwala,164100901,,624,0,624,,,
"",,"Lohianwala(Moh. JamiaMasjid AhleHadidh)",164100902,,345,0,345,,,
"",,,,,1779,0,1779,,,
67,"TEVTA , GT RoadGujranwala(Female)",Lohianwala,164100807,,0,510,510,0,3,3
"",,Lohianwala,164100901,,0,538,538,,,
"",,"Lohianwala(Moh. JamiaMasjid AhleHadidh)",164100902,,0,304,304,,,
"",,,,,0,1352,1352,,,
68,"GIFT University, Lohianwala(Combined)",Lohianwala,164100903,,659,482,1141,2,2,4
"",,Lohianwala,164100904,,339,262,601,,,
"",,Lohianwala,164100905,,145,113,258,,,
"",,,,,1143,857,2000,,,
69,"Chenab College of Engineeringand Techonology Opp: BISE Grw(Combined)","Lohianwala(Moh. Ali AsgharColony)",164100906,,484,372,856,2,2,4
"",,Lohianwala,164100907,,337,300,637,,,
"",,Lohianwala,164100908,,291,195,486,,,
"",,,,,1112,867,1979,,,
70,Pak Kuwait English H/S (Male),"Moh. Noor PuraFatomand/Sialkot Road",164110101,,831,0,831,3,0,3
"",,"Noor Pura,Agency Tail waliJinnah Road",164110102,,484,0,484,,,
"",,,,,1315,0,1315,,,
71,"Unique Girls School Moh. NoorPura (Female)","Moh. Noor PuraFatomand/Sialkot Road",164110101,,0,685,685,0,3,3
"Noor Pura,Agency Tail waliJinnah Road",164110102,,0,417,417,,,,,
"",,,0,1102,1102,,,,,
1,2,3,4,5,6,7,8,9,10,11
72,"Allied School, DC road Campus,Kacha Fattomand Road,Gujranwala (Combined)","Noor Pura/Jinnah RoadFatomand Road",164110103,,679,525,1204,2,2,4
"",,"Noor Pur/FatomandRoad AgencyTailwali",164110104,,600,511,1111,,,
"",,,,,1279,1036,2315,,,
73,"Office of the XEN Upper ChenabCanal (Old Building) (Male)",Tail wali Agency,164110201,,546,0,546,3,0,3
"",,"Jinnah RoadFato Mand",164110202,,772,0,772,,,
"",,Tail wali Agency,164110205,,211,0,211,,,
"",,"Jinnah RoadFato Mand",164110206,,214,0,214,,,
"",,,,,1743,0,1743,,,
74,"Office of the XEN Upper ChenabCanal (New Building) (Female)",Tail wali Agency,164110201,,0,280,280,0,3,3
"",,"Jinnah RoadFato Mand",164110202,,0,645,645,,,
"",,Tail wali Agency,164110205,,0,358,358,,,
"",,"Jinnah RoadFato Mand",164110206,,0,337,337,,,
"",,,,,0,1620,1620,,,
75,"Office of the XEN Upper ChenabCanal (Old Building) (Male)","Tail wali AgencyJinnahRoad",164110203,,653,0,653,2,0,2
"",,"Tail wali AgencyJinnahRoad",164110204,,404,0,404,,,
"",,"Tail wali AgencyJinnahRoad",164110207,,321,0,321,,,
"",,,,,1378,0,1378,,,
76,"Office of the XEN Upper ChenabCanal (New Building) (Female)","Tail wali AgencyJinnahRoad",164110203,,0,620,620,0,2,2
"Tail wali AgencyJinnahRoad",164110204,,0,305,305,,,,,
"Tail wali AgencyJinnahRoad",164110207,,0,332,332,,,,,
"",,,0,1257,1257,,,,,
"Bheko puraKachiFatomand",164110402,,464,0,464,,,,,
"Bheko puraKachiFatomand",164110403,,589,0,589,,,,,
Bheko pura,164110404,,692,0,692,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,1745,0,1745,,,
78,"Govt. Girls P/S Bheekhopura(Female)","Bheko puraKachiFatomand",164110402,,0,381,381,0,3,3
"",,"Bheko puraKachiFatomand",164110403,,0,453,453,,,
"",,Bheko pura,164110404,,0,575,575,,,
"",,,,,0,1409,1409,,,
79,Office of the Baitul Mall.(Male),Kachi Fatomand,164110501,,839,0,839,3,0,3
"",,Kachi Fatomand,164110504,,796,0,796,,,
"",,,,,1635,0,1635,,,
80,Office of the Baitul Mall.(Female),Kachi Fatomand,164110501,,0,676,676,0,2,2
"",,Kachi Fatomand,164110504,,0,602,602,,,
"",,,,,0,1278,1278,,,
81,Govt. Girls P/S Fattomand (Male),Kachi Fatomand,164110502,,271,0,271,2,0,2
"",,Kachi Fatomand,164110503,,890,0,890,,,
"",,Kachi Fatomand,164110505,,496,0,496,,,
"",,,,,1657,0,1657,,,
82,"Govt. Girls P/S Fattomand(Female)",Kachi Fatomand,164110502,,0,245,245,0,2,2
"",,Kachi Fatomand,164110503,,0,726,726,,,
"",,Kachi Fatomand,164110505,,0,342,342,,,
"",,,,,0,1313,1313,,,
83,"Allied School Lodhi Town ChakJagna (Male)","Jagna MainBazar to Mh.Iftikhar Pehalwan",164120101,,459,0,459,4,0,4
"",,"Jagna SialkotRoad",164120102,,368,0,368,,,
"",,"Jagna MainBazar to Mh.Iftikhar Pehalwan",164120106,,265,0,265,,,
"",,"Jagna SialkotRoad",164120107,,761,0,761,,,
"",,,,,1853,0,1853,,,
84,"Allama Iqbal H/S Gala Saint Paulwala Chak Jagna (Female)","Jagna MainBazar to Mh.Iftikhar Pehalwan",164120101,,0,358,358,0,2,2
"Jagna SialkotRoad",164120102,,0,264,264,,,,,
"Jagna MainBazar to Mh.Iftikhar Pehalwan",164120106,,0,228,228,,,,,
"Jagna SialkotRoad",164120107,,0,587,587,,,,,
"",,,0,1437,1437,,,,,
"Jagna SialkotRoad",164120103,,212,0,212,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Purani AbadiJagna",164120104,,432,0,432,,,
"",,"Purani AbadiJagna",164120105,,449,0,449,,,
"",,"Purani AbadiJagna",164120108,,145,0,145,,,
"",,,,,1238,0,1238,,,
86,"Govt. Girls H/S Chak Jagna(Female)","Jagna SialkotRoad",164120103,,0,198,198,0,2,2
"",,"Purani AbadiJagna",164120104,,0,302,302,,,
"",,"Purani AbadiJagna",164120105,,0,340,340,,,
"",,"Purani AbadiJagna",164120108,,0,125,125,,,
"",,,,,0,965,965,,,
87,"Govt. Shuhda e APS H/S ChakJagna (Male)","Nai Abadi JagnaSialkotRoad",164120201,,364,0,364,3,0,3
"",,"Nai Abadi JagnaSialkotRoad",164120202,,778,0,778,,,
