"","PollingStation",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters",Male Booths,Female Booths,Total Booths,Booth Type
"",,,Chak No.6/D.H,223080302,525,0,525,,,,
"",,,Chak No.6/D.H,223080303,435,0,435,,,,
"",,,Chak No.5/D.H,223080305,544,0,544,,,,
"",,,Chak No.5/D.H,223080306,544,0,544,,,,
"",127,"Govt Boys High SchoolChak No 6/D  (IIndPortion)",Chak No.6/D.H,223080301,0,385,385,0,2,2,Female
"",,,Chak No.6/D.H,223080302,0,385,385,,,,
"",,,Chak No.6/D.H,223080303,0,340,340,,,,
"",,,Chak No.5/D.H,223080305,0,454,454,,,,
"",,,Chak No.5/D.H,223080306,0,454,454,,,,
"",128,"Govt Girls Middle SchoolChak No 8/D (Ist Portion)",Chak No.8/D.H,223080307,230,178,408,1,1,2,Combined
"",,,Chak No.8/D.H,223080308,369,292,661,,,,
"",129,"Govt Boys Primary SchoolChak No 7/D",Chak No.7/D.H,223080304,292,210,502,2,1,3,Combined
"",,,Chak No.18/D.H,223080309,232,146,378,,,,
"",,,Chak No.9/D.H,223080501,208,133,341,,,,
"",,,Chak No.10/D.H,223080502,100,73,173,,,,
"",130,"Govt Girls Primary SchoolChak No 16/D",Chak No.16/D.H,223080401,276,184,460,1,1,2,Combined
"",,,Chak No.11/D.H,223080402,219,116,335,,,,
"",131,"Govt Girls Primary SchoolRam Chontra",Jhalar Ghazi Wali,223071001,44,32,76,2,1,3,Combined
"",,,Jhalar Kali Wali,223071002,5,3,8,,,,
"",,,Sabz Giddar,223071004,77,40,117,,,,
"",,,Haji Dewana,223071005,235,173,408,,,,
"",,,Chak Toru,223071006,56,30,86,,,,
"",,,Ram Chautra,223071009,287,215,502,,,,
"",132,"Govt Boys Primary SchoolIslam Hiraj",Islam Hiraj,223071003,241,183,424,1,1,2,Combined
Toru,223071007,253,215,468,,,,,,,
Toru,223071008,88,69,157,,,,,,,
Daduana,223071103,266,250,516,,,,,,,
"",,Dadoana,Masta Mirali,223071201,14,14,28,,,,
"",,,Aqila Changar,223071208,22,20,42,,,,
"",134,"Govt Boys Primary SchoolBilhar Dewana",Dadoana,223071101,340,283,623,1,1,2,Combined
"",,,Dadoana,223071102,88,77,165,,,,
"",,,Daduana,223071105,191,159,350,,,,
"",,,Ramun Wala,223071202,22,18,40,,,,
"",135,"Govt Boys HigherSecondary SchoolSandian Wala (Ist Portion)",Sandian Wala,223071203,390,333,723,1,1,2,Combined
"",136,"Govt. Girls Middle SachooPir Qatal Pur SandianWalaChak Mehr ShahmandHiraj(Ist-Port)",Sandian Wala,223071204,628,457,1085,1,1,2,Combined
"",137,"Govt. Girls Middle SachooPir Qatal Pur SandianWalaChak Mehr ShahmandHiraj (IInd  Portion)",Sandian Wala,223071205,220,161,381,1,1,2,Combined
"",138,"Govt Girls Middle SchoolSidhu Kanwen",Sidhu Kanwen,233071206,238,167,405,1,1,2,Combined
"",,,Sidhu Kanwen,233071207,330,287,617,,,,
"",139,"Govt Boys Primary SchoolFeroz Wala Rai Pur",Rai Pur,223070105,269,240,509,1,1,2,Combined
"",,,Rai Pur,223070106,344,278,622,,,,
"",140,"Govt Boys Primary SchoolRukan Wala",Rukan Wala,223070101,528,355,883,1,1,2,Combined
"",141,"Govt Boys Primary SchoolJamadar Wala Ruken",Rukan Wala,223070102,697,569,1266,2,1,3,Combined
"",,,Rukan Wala,223070103,697,569,1266,,,,
"",142,"Govt Boys Primary SchoolJamadar Wala RukenWala",Rukan Wala,223070104,310,248,558,1,1,2,Combined
"",143,"Govt Boys Primary SchoolMasat Pur  (New)",Masat Pur,223070108,704,546,1250,2,1,3,Combined
"",,,Masat Pur,223070109,704,546,1250,,,,
"",144,"Govt Boys Primary SchoolMasat Pur  (New)",Masat Pur,223070107,325,215,540,2,2,4,Combined
"",,,Masat Pur,223070110,330,267,597,,,,
"",145,"Govt Girls Primary SchoolAry Wala Masat Pur",Masat Pur,223070111,380,346,726,2,1,3,Combined
"",,,Masat Pur,223070112,273,197,470,,,,
"",146,"Govt Boys High SchoolJodh Pur (Ist Portion)",Jodh Pur,223070303,306,0,306,2,0,2,Male
"",,,Jodh Pur,223070306,839,0,839,,,,
"",,,Jodh Pur,223070307,839,0,839,,,,
"",,,Jodh Pur,223070309,153,0,153,,,,
"",147,"Govt Boys High SchoolJodh Pur (IInd  Portion)",Jodh Pur,223070303,0,217,217,0,2,2,Female
"",,,Jodh Pur,223070306,0,671,671,,,,
"",,,Jodh Pur,223070307,0,671,671,,,,
"",,,Jodh Pur,223070309,0,129,129,,,,
