ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
"",,Mondh,225080510,,,,0,0,0,,,
"",,Total,,,,,132,97,229,,,
179,"Office of Town Committee Taunsa(Male)",,,"Mohallah Nizam abadGharbi",225100101,,832,0,832,2,0,2
"",,,,"Mohallah Nizam abadGharbi",225100102,,462,0,462,,,
"",,,,Total,,,1294,0,1294,,,
180,"Office of Town Committee Taunsa(Female)",,,"Mohallah Nizam abadGharbi",225100101,,0,737,737,0,2,2
"",,"Mohallah Nizam abadGharbi",225100102,,0,429,429,,,,,
"",,Total,,,0,1166,1166,,,,,
"",,"Mohallah Nizam AbadSharqi",225100103,,292,295,587,,,,,
"",,"Mohallah Nizam AbadSharqi",225100104,,231,199,430,,,,,
"",,,Total,,,799,723,1522,,,
"",,"Mohallah Nizam AbadSharqi",225100106,,63,0,63,,,,
"",,"Mohallah Nizam AbadSharqi",225100107,,88,0,88,,,,
"",,"Mohallah Nizam AbadSharqi",225100108,,58,0,58,,,,
"",,"Mohallah Nizam AbadSharqi",225100109,,80,0,80,,,,
"",,Mohallah Shah Alim,225100201,,390,0,390,,,,
183,"Boys Degree College Taunsa(Female)",,,"Mohallah Nizam AbadSharqi",225100106,,0,53,53,0,1,1
"",,,,"Mohallah Nizam AbadSharqi",225100107,,0,71,71,,,
"",,,,"Mohallah Nizam AbadSharqi",225100108,,0,71,71,,,
"",,,,"Mohallah Nizam AbadSharqi",225100109,,0,79,79,,,
"",,,,Mohallah Shah Alim,225100201,,0,374,374,,,
"",,,,Total,,,0,648,648,,,
184,Girls  College Taunsa (Combined),,,Mohallah Shamas Abad,225100202,,319,284,603,2,2,4
"",,,,Mohallah Shamas Abad,225100203,,140,118,258,,,
"",,,,Mohallah Shamas Abad,225100204,,329,291,620,,,
"",,,,Total,,,788,693,1481,,,
185,"Girls High School, Taunsa (Male)",,,Mohallah Shikhani Wala,225100205,,830,0,830,2,0,2
"",,,,Mohallah Shikhani Wala,225100206,,333,0,333,,,
"",,,,Total,,,1163,0,1163,,,
186,"Girls High School, Taunsa (Female)",,,Mohallah Shikhani Wala,225100205,,0,808,808,0,2,2
"",,,,Mohallah Shikhani Wala,225100206,,0,278,278,,,
"",,,,Total,,,0,1086,1086,,,
187,"Girls Primary School, Tunsa No.2(Male)",,,Mohallah Jatna Wala,225100207,,385,0,385,2,0,2
"",,,,Mohallah Chachan Wala,225100208,,765,0,765,,,
"",,,,Total,,,1150,0,1150,,,
188,"Boys Primary School, No 5 Tunsa(Female)",,,Mohallah Jatna Wala,225100207,,0,343,343,0,2,2
"",,,,Mohallah Chachan Wala,225100208,,0,680,680,,,
"",,,,Total,,,0,1023,1023,,,
189,"Boys Middle School, Tunsa(Combined)",,,Mohallah Jatna Wala,225100209,,389,336,725,1,1,2
"",,Mohallah Skhani Wala,225100210,,246,192,438,,,,,
"",,Total,,,635,528,1163,,,,,
"",,Mohallah Manjothan Wala,225100301,,772,0,772,,,,,
"",,Mohallah Kalu Usman,225100307,,1016,0,1016,,,,,
191,"Girls Primary School Kaloo Usman(Female)",,,Mohallah Manjothan Wala,225100301,,0,742,742,0,3,3
"",,Mohallah Kalu Usman,225100307,,0,724,724,,,,,
"",,Total,,,0,1466,1466,,,,,
"",,"Mohallah MohajranaWala",225100302,,375,0,375,,,,,
"",,Mohallah Khawajgan,225100303,,411,0,411,,,,,
"","Girls Primary School Mehmooda AbadTaunsa  (Female)",,,"Mohallah MohajranaWala",225100302,,0,372,372,0,1,1
"",,,,Mohallah Khawajgan,225100303,,0,299,299,,,
"",,,,Total,,,0,671,671,,,
194,"Boys Middle School  Taunsa No.3(Combined)",,,Mohalla Mochiwala,225100304,,1019,848,1867,1,1,2
"",,,,Total,,,1019,848,1867,,,
195,Boys Primary School No.2  (Male),,,Mohalla Qaisyan Wala,225100305,,1291,0,1291,2,0,2
"",,,,Mohalla Qurashi Wala,225100306,,339,0,339,,,
"",,,,Total,,,1630,0,1630,,,
196,Boys Primary School No.2  (Female),,,Mohalla Qaisyan Wala,225100305,,0,1101,1101,0,2,2
"",,,,Mohalla Qurashi Wala,225100306,,0,318,318,,,
"",,,,Total,,,0,1419,1419,,,
197,"Girls Middle School, Taunsa No.5(Male)",,,Mohalla Kachi Abady,225100308,,326,0,326,2,0,2
"",,,,Mohalla Qaisyan Wala,225100309,,853,0,853,,,
"",,,,Mohalla Kachi Abady,225100310,,277,0,277,,,
"",,,,Total,,,1456,0,1456,,,
198,"Girls Middle School, Taunsa No.5(Female)",,,Mohalla Kachi Abady,225100308,,0,220,220,0,2,2
"",,,,Mohalla Qaisyan Wala,225100309,,0,777,777,,,
"",,,,Mohalla Kachi Abady,225100310,,0,256,256,,,
"",,,,Total,,,0,1253,1253,,,
199,"Girls Primary School Taunsa No.4(Combined)",,,Mohalla Sadat,225100401,,149,109,258,1,1,2
"",,,,Mohalla Farooqia,225100402,,144,131,275,,,
"",,,,Mohalla Farooqia,225100412,,191,146,337,,,
"",,,,Mohalla Farooqia,225100413,,155,189,344,,,
"",,,,Total,,,639,575,1214,,,
200,"Office of S.D.O. Highway Taunsa(Combined)",,,Mohalla Jaffrah Wala,225100403,,167,119,286,2,1,3
"",,,,Mohalla Jaffrah Wala,225100414,,191,146,337,,,
"",,,,Mohalla Darkhan Wala,225100404,,224,201,425,,,
"",,,,Mohalla Darkhan Wala,225100415,,245,200,445,,,
"",,,,Total,,,827,666,1493,,,
201,"Office of S.D.O. Building Taunsa(Combined)",,,Mohalla Shumali,225100405,,172,214,386,1,1,2
"",,Mohalla Shumali,225100406,,155,154,309,,,,,
"",,Mohalla Shumali,225100407,,149,109,258,,,,,
"",,Mohalla Shumali,225100408,,98,76,174,,,,,
"",,Total,,,574,553,1127,,,,,
"",,Mohalla Shumali,225100411,,151,9,160,,,,,
"",,Mohalla Shumali,225100416,,141,102,243,,,,,
"",,Mohalla Shumali,225100417,,193,221,414,,,,,
"",,Mohalla Shumali,225100418,,261,261,522,,,,,
"",,,Mohalla Shumali,225100420,,109,104,213,,,
"",,Mohalla Shumali,225100421,,114,87,201,,,,
"",,Total,,,1146,923,2069,,,,
"",,"Mohalla NazamaabadGharbi",225100409,,202,161,363,,,,
"",,Mohalla AlMurtza Tawon,225100410,,190,155,345,,,,
"",,"Mohalla NazamaabadGharbi",225100422,,320,295,615,,,,
"",,Mohalla AlMurtza Tawon,225100423,,194,161,355,,,,
"","Boys Primary School, JhokeMohnaywali  (Combined)",,,Qazi Wala,225100501,,113,72,185,1,1,2
"",,,,Qazi Wala,225100502,,175,84,259,,,
"",,,,Qazi Wala,225100503,,122,106,228,,,
"",,,,Qazi Wala,225100504,,216,223,439,,,
"",,,,Total,,,626,485,1111,,,
205,"Girls Middle School, Tub  (Combined)",,,Tub 4/6,225100601,,582,496,1078,2,2,4
"",,,,Tub 4/6,225100602,,362,280,642,,,
"",,,,Tub 4/6,225100603,,130,92,222,,,
"",,,,Total,,,1074,868,1942,,,
206,"Boys Primary School, Basti Hadwar(Combined)",,,Hadwar 1/2,225100604,,14,7,21,2,1,3
"",,,,Hadwar 1/2,225100605,,8,9,17,,,
"",,,,Hadwar 1/2,225100701,,9,10,19,,,
"",,,,Hadwar 1/2,225100702,,9,6,15,,,
"",,,,Hadwar 1/2,225100703,,8,9,17,,,
"",,,,Hadwar 1/2,225100704,,8,7,15,,,
"",,,,Hadwar 1/2,225100705,,672,491,1163,,,
"",,,,Total,,,728,539,1267,,,
207,"Boys Primary School Chah ZanbooWala  (Combined)",,,Bairoon Taunsa,225100801,,156,66,222,2,1,3
"",,,,Bairoon Taunsa,225100802,,143,53,196,,,
"",,,,Bairoon Taunsa,225100803,,101,58,159,,,
"",,,,Bairoon Taunsa,225100901,,61,64,125,,,
"",,,,Bairoon Taunsa,225100902,,69,65,134,,,
"",,,,Bairoon Taunsa,225100903,,51,57,108,,,
"",,,,Bairoon Taunsa,225101001,,69,61,130,,,
"",,,,Bairoon Taunsa,225101002,,67,61,128,,,
"",,,,Bairoon Taunsa,225101003,,122,66,188,,,
"",,,,Total,,,839,551,1390,,,
208,"Boys Primary School, Jindwanga(Combined)",KHEYABAN NAWAZ,226010303,,,,22,13,35,1,1,2
"",,CHOR DAB,226010304,,,,51,32,83,,,
"",,JANDWANGA,226010404,,,,448,272,720,,,
"",,Total,,,,,521,317,838,,,
209,"Boys Primary School, Lazdan(Combined)",LAZDAN SHUMALI,226010401,,,,121,84,205,1,1,2
LAZDAN JANUBI,226010402,,,,85,57,142,,,,,
ASPLANGI,226010403,,,,75,38,113,,,,,
Sigh,226010405,,,,73,48,121,,,,,
KAHIR THAL,226010406,,,,114,83,197,,,,,
Total,,,,,468,310,778,,,,,
ROK DHARI (AKAR JOI),226020206,,,,83,50,133,,,,,
DAG,226010205,,,,117,47,164,,,,,
FATEH WALA,226010206,,,,74,38,112,,,,,
"","Boys Primary School, Chhukay Zam(Combined)",SIGHARAH,226010407,,,,67,52,119,1,1,2
"",,GULZAR NAWAZ,226010302,,,,5,5,10,,,
"",,CHAKIAN ZAM,226010201,,,,150,75,225,,,
"",,DARIGLI,226010203,,,,33,27,60,,,
"",,GULISTAN NAWAZ,226010301,,,,27,21,48,,,
"",,Total,,,,,282,180,462,,,
212,"Boys Middle  School, Sarfragh(Combined)",NELO HAR,226010305,,,,18,10,28,1,1,2
"",,KHALERO,226010306,,,,141,101,242,,,
"",,JADO,226010202,,,,70,53,123,,,
"",,"SARFARAGH GHARBI(SARFARAZGHR)",226010501,,,,131,87,218,,,
"",,"SARFARAGH SHARQI(SARFARAZSHA)",226010502,,,,106,64,170,,,
"",,Total,,,,,466,315,781,,,
213,"Boys Primary School, Dahmani(Combined)",BHAMBHA,226010108,,,,420,247,667,1,1,2
"",,Total,,,,,420,247,667,,,
214,"Boys Primary School, Shamtala(Combined)",KOHAR SHUMALI,226010506,,,,107,38,145,1,1,2
"",,LOPO,226010507,,,,60,16,76,,,
"",,KHOLA,226010508,,,,21,10,31,,,
"",,GAWANSHEGAR,226010103,,,,42,30,72,,,
"",,KHORIN THAL,226010107,,,,91,56,147,,,
"",,SHAMTALA,226010109,,,,124,80,204,,,
"",,Total,,,,,445,230,675,,,
215,"Boys Primary School, Bajal(Combined)",BAJAL,226020201,,,,309,207,516,1,1,2
