""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,486,304,790,1,1,2
339,"339-Girls P/S Ghaseetpur(Combined)(P)","Ghaseetpur",184031505,,,,467,273,740,,,
"","AtochakJeender",184031601,,,,305,158,463,,,,
"",,,,,Total:-,,772,431,1203,2,1,3
"",340-Girls P/S Meer pur (Combined)(P),Bhath,184031602,,,,85,37,122,,,
340,"SaloBhains",184031603,,,,36,31,67,,,,
"",Meer Pur,184031606,,,,163,91,254,,,,
"",Fatta,184031702,,,,252,160,412,,,,
"",,"BalaGujran.BC",184031705,,,,3,1,4,,,
"",,"BheroChakJattan",184031703,,,,104,55,159,,,
"",,,,,Total:-,,643,375,1018,1,1,2
"",,,,,Total:-,,644,467,1111,1,1,2
342,342-Girls M/S Karwal. (Combined)(P),Karwal,184040101,,,,241,150,391,,,
"",Nargal,184040102,,,,218,120,338,,,,
"",,Bakarwal,184040103,,,,436,227,663,,,
"",,"KotliSanian.",184040104,,,,133,90,223,,,
"",,,,,Total:-,,1028,587,1615,2,1,3
343,"343-Govt. Girls Primary SchoolAlawalchak (Combined)","Alawalchak",184040201,,,,571,387,958,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,571,387,958,1,1,2
344,"344-Govt.Girls E/S Malikpur(Combined)(P)",Malikpur,184040202,,,,520,410,930,,,
"",Jagat Pur,184040209,,,,184,135,319,,,,
"",,,,,Total:-,,704,545,1249,2,1,3
"",,,,,,,,,,,,
345,345-Boy P/S Odra (Combined)(P),Kasana,184040203,,,,292,218,510,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,673,446,1119,2,1,3
346,346-G M/S Langian (Combined)(P),Langian,184040204,,,,278,187,465,,,
"",,Masatpur,184040205,,,,136,69,205,,,
"",,Salotra,184040210,,,,263,170,433,,,
"",,,,,Total:-,,677,426,1103,1,1,2
347,347-G P/S Shahpur Jatan(Combined)(P),"ShahpurJatan",184040206,,,,428,259,687,,,
"",,"BahooBarahmana",184040207,,,,111,61,172,,,
"",,"MadaKotli",184040208,,,,99,61,160,,,
"",,,,,Total:-,,638,381,1019,1,1,2
348,"348-Girls P/S  Saroch Berhiman(Combined)(P)","PhagwariHindwan",184040301,,,,381,275,656,,,
"",,"SarochBerhaman.",184040303,,,,481,314,795,,,
"",,"Tahir(B.C)",184040308,,,,0,0,0,,,
"",,,,,Total:-,,862,589,1451,2,1,3
349,349-Girls P/S Chak Kala,Darian,184040302,,,,405,292,697,,,
"",Khan.(Combined)(P),"ChakKalayKhan",184040305,,,,378,213,591,,,
"",,,,,Total:-,,891,578,1469,2,1,3
350,350-Girls P/S  ratan pur (Combined)(P),"Kotli-Gogiani",184040304,,,,96,66,162,,,
"",Jowain,184040808,,,,222,124,346,,,,
"",,"RatanPur",184040809,,,,254,171,425,,,
"",,"Kanwal(A)",184040810,,,,226,186,412,,,
"",,,,,Total:-,,798,547,1345,2,1,3
351,"351-Boy H/S Phagwari Musliman(Combined)(P)","PhagwariMusliman",184040307,,,,882,684,1566,,,
"",,,,,,,,0,,,,
"",,,,,Total:-,,882,684,1566,2,1,3
352,"352-Boys H/S/S Kot Nainan(Combined)(P)",Sogian,184040401,,,,113,71,184,,,
"","KhanManaka",184041403,,,,358,236,594,,,,
"","SaranChakKhidya",184040402,,,,255,146,401,,,,
"",,"AimaSyedan",184041410,,,,19,16,35,,,
"",,,,,Total:-,,745,469,1214,2,1,3
353,"353-Boys P/S Bagwanpur(Combined)(P)","KotliGujran",184040404,,,,395,273,513,,,
"","Bagwanpur",184040405,,,,347,221,568,,,,
"","ChakOdhiyan",184040406,,,,180,136,316,,,,
"",,,,,Total:-,,922,630,1552,2,1,3
354,354-Girls P/S Tarpi (Combined)(P),Tarpi,184040501,,,,459,306,765,,,
"",Tarpi,184040502,,,,451,295,746,,,,
"",,,,,Total:-,,910,601,1511,2,1,3
355,"355-Boys H/S Beri Khrud(Combined)(P)","BeriKhrud",184040503,,,,549,373,922,,,
"","BeriKhrud",184040504,,,,662,511,1173,,,,
"",,,,,Total:-,,1211,884,2095,2,2,4
356,356-Girls P/S Raipur (Combined)(P),Raipur,184040601,,,,313,269,582,,,
"",,Daidar,184040604,,,,418,303,721,,,
"",,,,,Total:-,,731,572,1303,2,1,3
"",,,,,,,,,,,,
357,357-Boys P/S Baroti (Combined)(P),Chatri,184040602,,,,411,272,683,,,
"",,Baroti,184040603,,,,582,351,933,,,
"",,,,,Total:-,,993,623,1616,2,1,3
358,"358-Govt.P/S Sultanpur Majoa(Combined)(P)","SultanpurMajoa",184040403,,,,605,415,1020,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,605,415,1020,1,1,2
359,"359-Govt. Girls Primary School JhunMan Singh(Combined)",Naroor,184040701,,,,222,150,372,,,
"","JhunmanSingh",184041902,,,,307,192,499,,,,
"",,,,,Total:-,,529,342,871,1,1,2
360,360-Boys P/S Dadwal (Combined)(P),"HajipurB.C",184040702,,,,0,0,0,,,
"","PeerKandyalaB.C",184040703,,,,0,0,0,,,,
"",,"Hoshyarpur B.C",184040704,,,,0,0,0,,,
"",,"SadoChak",184040705,,,,0,0,0,,,
"",,"DharamPur",184040707,,,,0,0,0,,,
"",,"KainthBaramnan B.C",184041405,,,,0,0,0,,,
"",,Dhariwal,184041411,,,,250,159,409,,,
"",,"Darmodar Pur",184040706,,,,0,0,0,,,
"",,Dadwal,184041601,,,,0,0,0,,,
"",,"SadhialB.C.",184041603,,,,0,0,0,,,
"",,Dhagwal,184041604,,,,0,0,0,,,
"",,"HajipurGujran",184041605,,,,16,13,29,,,
"",,"KhanpurMammianB.C",184041901,,,,10,8,18,,,
"",,"DoulatChak B.C",184041903,,,,0,0,0,,,
"",,,,,Total:-,,276,180,456,1,1,2
361,361-Boys P/S Jamalpur (Combined)(P),Lalochak,184040801,,,,283,169,452,,,
"","ChakQazian",184040806,,,,202,127,329,,,,
"",Jamalpur,184040804,,,,132,93,225,,,,
"",,Zanboori,184040807,,,,31,21,52,,,
"",,,,,Total:-,,742,476,1218,2,1,3
"",,,,,,,,,,,,
362,"362-Boys P/S Bhotarawal(Combined)(P)","Bhotarwal",184040802,,,,344,269,613,,,
"","Qureshian",184040803,,,,196,144,340,,,,
"",,,,,Total:-,,540,413,953,1,1,2
363,"363-Girls P/S Bheri Kalan.(Combined)(P)","BheriKalan",184040901,,,,625,367,992,,,
"",Jeo Chak,184040903,,,,398,232,630,,,,
"",,,,,Total:-,,1023,599,1622,2,1,3
364,364-Girls P/S Danor (Combined)(P),"SarochRajputtan.",184040902,,,,17,89,115,,,
"",Danori,184040904,,,,412,313,725,,,,
"",Danor,184040905,,,,334,252,586,,,,
"",,,,,Total:-,,763,654,1417,2,1,3
365,365-Boys P/S Musapur (Combined)(P),"Latkochak",184041001,,,,199,152,351,,,
"",Musapur,184041005,,,,130,100,230,,,,
"",,Dogar,184041007,,,,161,89,250,,,
"",,,,,Total:-,,490,341,831,1,1,2
366,366-Boys P/S Hera Jhun (Combined)(P),"HeraJhun",184041009,,,,282,221,503,,,
"","NekiJatan",184041002,,,,175,97,272,,,,
"",,Gagg,184041003,,,,250,152,402,,,
"",,Panjwal,184041004,,,,98,66,164,,,
"",,,,,Total:-,,805,536,1341,2,1,3
367,367-Boys P/S Trial(Combined)(P),Kokar,184041006,,,,157,86,243,,,
"","AimaSeikhan",184041008,,,,49,28,77,,,,
"",Trail,184041404,,,,310,210,520,,,,
"",Paswal,184041406,,,,219,158,377,,,,
"",Mamian,184041407,,,,138,87,225,,,,
"",,,,,Total:-,,873,569,1442,2,1,3
368,368-Boys P/S Sajowal. (Combined)(P),Sojowal,184041101,,,,674,465,1139,,,
"","Meer purJhugian",184041104,,,,46,37,83,,,,
"",,,,,Total:-,,720,502,1222,1,1,2
369,"ChanniBahdarsingh",184041102,,,,65,24,89,,,,
"",Jhanda,184041103,,,,77,58,135,,,,
"",,Mehtpur,184041106,,,,236,167,403,,,
"",,Lalwan,184041205,,,,385,272,657,,,
"",,Khatail,184041107,,,,84,45,129,,,
"",,,,,Total:-,,1111,780,1891,2,2,4
370,370-Boys P/S Loankh (Combined)(P),Chhar,184041201,,,,445,327,772,,,
"","ChakAtlah",184041203,,,,132,71,203,,,,
"",,"Lanwankh",184041204,,,,370,237,607,,,
"",,,,,Total:-,,947,635,1582,2,1,3
371,371-Boys M/S Lalian. (Combined)(P),Lalian,184041202,,,,714,535,1249,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,714,535,1249,1,1,2
372,"372-Govt. Boys P/S chakEaser/Bopa(Male)(P)","ChakEiserBhopa",184041301,,,,582,,582,,,
"","ChakEiserBhopa",184041302,,,,567,,567,,,,
"",,Ilyas Pur,184041304,,,,95,,95,,,
"",,Khadyal,184041303,,,,71,,91,,,
"",,,,,Total:-,,1315,,1315,3,,3
373,"373-Govt. Girls P/S chakEaser/Bopa(Female)(P)","ChakEiserBhopa",184041301,,,,,378,378,,,
"","ChakEiserBhopa",184041302,,,,,391,391,,,,
"",,Ilyas Pur,184041304,,,,,58,58,,,
"",,Khadyal,184041303,,,,,50,91,,,
"",,,,,Total:-,,,877,877,,2,2
"",,,,,,,,,,,,
374,374-Girls P/S Joday (Combined)(P),"KanwalJattan",184041408,,,,307,187,494,,,
"",Joday,184041409,,,,705,441,1146,,,,
"","HeerJattan",184041602,,,,0,0,0,,,,
"",,,,Total:-,,1012,628,1640,2,1,3,
375,"375-Boys P/S Kot Nainan(Combined)(P)","KotNainan",184041401,,,,717,537,1254,,,
"","KotNainan",184041402,,,,358,267,625,,,,
"",,,,,Total:-,,1075,804,1879,2,2,4
"",,,,,,,,,,,,
376,376-G P/S Darya Gujran (Combined)(P),"KotDoaba",184041501,,,,199,113,312,,,
"",,Chokhri,184041503,,,,0,0,0,,,
"",,"DaryaGujran",184041702,,,,71,33,104,,,
"","SheikhpurMalahan",184041704,,,,18,8,26,,,,
"",,"PindiDoabba,B.C",184041502,,,,2,0,2,,,
"",,"Moranwala,B.C",184041504,,,,0,0,0,,,
"",,"Moranwali,B.C",184041505,,,,0,0,0,,,
"",,"Sokha(B.C)",184041506,,,,0,0,0,,,
"",,"DeraAfganan,B.C",184041703,,,,0,0,0,,,
"",,"Sogra,B.C",184041705,,,,0,0,0,,,
"",,,,,Total:-,,404,202,606,1,1,2
377,"377-Boys P/S Haryal Pakhwal(Combined)(P)","HaryalPakhral",184041801,,,,760,572,1332,,,
"",Atyal,184041802,,,,0,1,1,,,,
"",,,,,Total:-,,760,573,1333,2,1,3
378,"378-Boys P/S Thekariyan  Kalan(Combined) P)","Thekariyan Kalan.",184070601,,,,759,583,1342,,,
"",,,,,,,,,,,,
"",,,,,Total:-,,759,583,1342,2,1,3
"",,,,,,,,,,,,
379,379-Girls P/S Mengra. (Combined) P),"Thekariyan Khurd.",184070602,,,,156,148,304,,,
"",,Maingra,184070603,,,,273,195,468,,,
"",,"Shahzadpur.",184070604,,,,262,220,482,,,
"",,,,,Total:-,,691,563,1254,2,1,3
380,380-Girls M/S Surya. (Combined) P),Rambra.,184070605,,,,214,175,389,,,
"",,Surya,184070606,,,,536,424,960,,,
"",,Surya,184070607,,,,174,138,312,,,
"",,Ladhial,,,,,,,,,,
"",,,,,Total:-,,924,737,1661,2,2,4
381,381-Govt. Boys Elementary School,Tola,184071501,,,,664,,664,,,
"",Tola. (Male) ( P),Tola,184071502,,,,617,,617,,,
"",,,,,Total:-,,1281,,1281,2,,2
382,382-Govt. Girls Primary School,Tola,184071501,,,,,402,402,,,
"",Tola(Female),Tola,184071502,,,,,458,458,,,
383,"383-Boys H/S Souhawara. (Combined) (P)","Souhawara.",184071503,,,,885,549,1434,,,
"",,,,,,,,0,,,,
"",,,,,Total:-,,885,549,1434,2,1,3
384,"384-Boys P/S Peela Gujran. (Combined)( P)","PeelaGujran.",184071504,,,,706,537,1243,,,
"",,,,,,,,0,,,,
"",,,,,Total:-,,706,537,1243,2,1,3
385,"385-Girls E/S Peela Dogran.(Combined) ( P)","PeelaDogran.",184071505,,,,576,422,998,,,
"","Khanpurwiran.",184071506,,,,149,94,243,,,,
"",,,,,Total:-,,725,516,1241,2,1,3
"",,,,,,,,,17948,621,447,1068
"",,,,,,,,,,,,
"",,,,,,,,,,,,
No. and name of constituency      NA-78-NWL-II,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"1-Lab Model School ElementaryCollege Narowal(Male) (P)",,,Raehman Pura,1.83E+08,,1303,,1303,,,
"",,,,,Total,,1303,,1303,3,,3
2,"2-Lab Model School ElementaryCollege Narowal(Female) (P)",,,Raehman Pura,1.83E+08,,,1120,1120,,,
"",,,,,Total,,,1120,1120,,3,3
3,3-Govt. Eman Girls H/S Narowal(Male),,,Muhallah Ansarian,1.83E+08,,616,,616,,,
"",,,,Jamia Musjad Majaddia,1.83E+08,,752,,752,,,
"",,,,Muhallah Ansarian,1.83E+08,,140,,140,,,
"",,,,Muhallah Ansarian,1.83E+08,,154,,154,,,
"",,,,Muhallah Ansarian,1.83E+08,,147,,147,,,
"",,,,,Total,,1809,,1809,4,,4
4,"4-Govt. Eman Girls H/SNarowal(Female)",,,Muhallah Ansarian,1.83E+08,,,436,436,,,
"",,,,Jamia Musjad Majaddia,1.83E+08,,,644,644,,,
"",,,,Muhallah Ansarian,1.83E+08,,,123,123,,,
"",,,,Muhallah Ansarian,1.83E+08,,,125,125,,,
"",,,,Muhallah Ansarian,1.83E+08,,,106,106,,,
"",,,,,Total,,,1434,1434,,2,2
5,"5-Govt.Boys P/S Siddique PuraNarowal(Male) (P)",,,Saddique Pura,1.83E+08,,466,,466,,,
"",,,,,Total,,1016,0,1016,2,,2
6,"6-Govt.Boys P/S Siddique PuraNarowal(Female) (P)",,,Saddique Pura,1.83E+08,,,441,441,,,
"",,,,Saddique Pura,1.83E+08,,,497,497,,,
"",,,,,Total,,0,938,938,,2,2
7,"7-Govt.Boys P/S Siddique PuraNarowal(Male) (P)",,,Naqasband Abad,1.83E+08,,609,,609,,,
"",,,,"Chowk Aman-UllahaShaller",1.83E+08,,383,,383,,,
"",,,,Meeran Shah Hussain,1.83E+08,,468,,468,,,
"",,,,,Total,,1460,,1460,3,,3
8,"8-Govt.Girls P/S Siddique PuraNarowal(Female) (P)",,,Naqasband Abad,1.83E+08,,,251,251,,,
"",,,,"Chowk Aman-UllahaShaller",1.83E+08,,,317,317,,,
"",,,,Meeran Shah Hussain,1.83E+08,,,379,379,,,
"",,,,,Total,,,947,947,,2,2
9,"9-Govt. Boys Elementary School ChanPir Narowal(Male) (P)",,,Circular Road,1.83E+08,,544,,544,,,
"",,,,Masjid Hayaatunabi,1.83E+08,,242,,242,,,
"",,,,Masjid Hayaatunabi,1.83E+08,,836,,836,,,
"",,,,,Total,,1622,,1622,4,,4
10,"10-Govt. Boys Elementary School ChanPir Narowal(Female) (P)",,,Circular Road,1.83E+08,,,481,481,,,
"",,,,Masjid Hayaatunabi,1.83E+08,,,227,227,,,
"",,,,Masjid Hayaatunabi,1.83E+08,,,685,685,,,
"",,,,,Total,,,1393,1393,,3,3
11,"11-Govt. Muslim College for WomenNarowal (Male) (P)",,,Girls College,1.83E+08,,537,,537,,,
"",,,,"Madrassa AliMuhammad",1.83E+08,,697,,697,,,
"",,,,"Madrassa AliMuhammad",1.83E+08,,355,,355,,,
"",,,,,Total,,1589,,1589,4,,4
12,"12-Govt. Muslim College for WomenNarowal(Female) (P)",,,Girls College,1.83E+08,,,494,494,,,
"",,,,"Madrassa AliMuhammad",1.83E+08,,,600,600,,,
"",,,,"Madrassa AliMuhammad",1.83E+08,,,355,355,,,
"",,,,,Total,,,1449,1449,,3,3
13,"13-Govt. Muslim Girls H/SNarowal(Male) (P)",,,Chowk Abu Bakar,1.83E+08,,452,,452,,,
"",,,,Chowk Ali Masjid,1.83E+08,,562,,562,,,
"",,,,Basti Essaian,1.83E+08,,280,,280,,,
"",,,,Muhallah Hajvair Nagar,1.83E+08,,258,,258,,,
"",,,,,Total,,1552,,1552,3,,3
14,"14-Govt. Muslim Girls H/S Narowal(Female) (P)",,,Chowk Abu Bakar,1.83E+08,,,377,377,,,
"",,,,Chowk Ali Masjid,1.83E+08,,,491,491,,,
"",,,,Basti Essaian,1.83E+08,,,229,229,,,
"",,,,Muhallah Hajvair Nagar,1.83E+08,,,221,221,,,
"",,,,,Total,,,1318,1318,,3,3
15,"15-Govt. Degree College Narowal(Male) (P)",,,Modal Town,1.83E+08,,515,,515,,,
"",,,,Rangar Headquarter,1.83E+08,,196,,196,,,
"",,,,"Muhallah RaziviaCollony",1.83E+08,,125,,125,,,
"",,,,Chowk S.P. Hous,1.83E+08,,107,,107,,,
"",,,,Jassar Bypass,1.83E+08,,249,,249,,,
"",,,,"Govt. Degree CollegeBoys",1.83E+08,,516,,516,,,
"",,,,,,,,,,,,
"",,,,,Total,,1708,,1708,4,,4
16,"16-Govt. Degree College Narowal(Female) (P)",,,Modal Town,1.83E+08,,,484,484,,,
"",,,,Rangar Headquarter,1.83E+08,,,181,181,,,
"",,,,"Muhallah RaziviaCollony",1.83E+08,,,98,98,,,
"",,,,Chowk S.P. Hous,1.83E+08,,,109,109,,,
"",,,,Jassar Bypass,1.83E+08,,,236,236,,,
"",,,,"Govt. Degree CollegeBoys",1.83E+08,,,483,483,,,
"",,,,,Total,,,1591,1591,,4,4
17,"17-Govt. M.B.Girls H/S Narowal(Male)(P)",,,Darbar Shah Zaman,1.83E+08,,823,,823,,,
"",,,,Abu Bakar Pura,1.83E+08,,573,,573,,,
"",,,,,Total,,1396,,1396,3,,3
18,"18-Govt. Girls P/S Parana CommetteeGhar Narowal (Female) (P)",,,Darbar Shah Zaman,1.83E+08,,,754,754,,,
"",,,,Abu Bakar Pura,1.83E+08,,,519,519,,,
"",,,,,Total,,,1273,1273,,3,3
19,19-Saint Pal Girls E/S Narowal(Male) (P),,,"Muhallah ShafakhanaHavanat",1.83E+08,,214,,214,,,
"",,,,Civil Hospital,1.83E+08,,610,,610,,,
"",,,,Civil Hospital,1.83E+08,,308,,308,,,
"",,,,,Total,,1132,,1132,2,,2
20,"20-Saintpal Girls E/S Narowal(Female)(P)",,,"Muhallah ShafakhanaHavanat",1.83E+08,,,181,181,,,
"",,,,Civil Hospital,1.83E+08,,,528,528,,,
"",,,,Civil Hospital,1.83E+08,,,247,247,,,
21,"21-Govt. Girls Primary School ZakirPura (Male)",,,Muhallah Zakir Pura,1.83E+08,,751,,751,,,
"",,,,Muhallah Zakir Pura,1.83E+08,,298,,298,,,
"",,,,,Total,,1049,0,1049,2,,2
22,"22-Govt. Girls Primary School ZakirPura (Female)",,,Muhallah Zakir Pura,1.83E+08,,,780,780,,,
"",,,,Muhallah Zakir Pura,1.83E+08,,,231,231,,,
"",,,,,Total,,,1011,1011,,2,2
23,23-Govt. N.S. School Narowal(Male) (P),,,Rahmat Collony,1.83E+08,,290,,290,,,
"",,,,Hayat Town,1.83E+08,,103,,103,,,
"",,,,"Railway Phatic BoysCollege Hostil",1.83E+08,,174,,174,,,
"",,,,Muhallah Esa Nagri,1.83E+08,,372,,372,,,
"",,,,D.C. House,1.83E+08,,260,,260,,,
"",,,,,Total,,1199,,1199,2,,2
24,24-Govt. H/S Narowal (Female) (P),,,Rahmat Collony,1.83E+08,,,260,260,,,
"",,,,Hayat Town,1.83E+08,,,92,92,,,
"",,,,"Railway Phatic BoysCollege Hostil",1.83E+08,,,161,161,,,
"",,,,Muhallah Esa Nagri,1.83E+08,,,364,364,,,
"",,,,D.C. House,1.83E+08,,,247,247,,,
"",,,,,Total,,,1124,1124,,3,3
25,25-Govt. N.S. School Narowal(Male) (P),,,Salater House,1.83E+08,,408,,408,,,
"",,,,Salater House,1.83E+08,,1073,,1073,,,
"",,,,Salater House,1.83E+08,,235,,235,,,
"",,,,,Total,,1716,,1716,4,,4
26,26-Govt. H/S Narowal (Female) (P),,,Salater House,1.83E+08,,,399,399,,,
"",,,,Salater House,1.83E+08,,,823,823,,,
"",,,,Salater House,1.83E+08,,,256,256,,,
"",,,,,Total,,,1478,1478,,3,3
27,"27-Govt. Labe Model SchoolNarowal(Male)",,,Muhallah Charg Pura,1.83E+08,,754,,754,,,
"",,,,Ansari Mobile Phone Center,1.83E+08,,700,,700,,,
"",,,,,Total,,1454,,1454,3,,3
28,"28-Govt. Labe Model SchoolNarowal(Female)",,,Muhallah Charg Pura,1.83E+08,,,593,593,,,
"",,,,Ansari Mobile Phone Center,1.83E+08,,,609,609,,,
"",,,,,Total,,,1202,1202,,2,2
29,"29-Govt.Elementary CollegeNarowalCombined) (P)",,,Sialkot Railway Phatic,1.83E+08,,235,191,426,,,
"",,,,Gired Station,1.83E+08,,174,127,301,,,
"",,,,Sabzi Mandi,1.83E+08,,283,220,503,,,
"",,,,,Total,,692,538,1230,2,1,3
"",,,,,Total,,750,632,1382,2,1,3
31,31-Govt.Muslim H/S Narowal (Male) (P),,,Muhallah Jillani Colony,1.83E+08,,690,,690,,,
"",,,,"Gali Maqsood OppalWali",1.83E+08,,312,,312,,,
"",,,,"Chowk Abdul HameedKabaria",1.83E+08,,238,,238,,,
"",,,,,Total,,1240,0,1240,3,,3
32,"32-Govt. Boarding P/S Zafarwal RoadNarowal(Female) (P)",,,Muhallah Jillani Colony,1.83E+08,,,577,577,,,
"",,,,"Gali Maqsood OppalWali",1.83E+08,,,247,247,,,
"",,,,"Chowk Abdul HameedKabaria",1.83E+08,,,207,207,,,
"",,,,,Total,,0,1031,1031,,2,2
33,33-Govt.Muslim H/S Narowal (Male) (P),,,Muhallah Rasool Pura,1.83E+08,,616,,616,,,
"",,,,Muhallah Rasool Pura,1.83E+08,,505,,505,,,
"",,,,Railway Station,1.83E+08,,306,,306,,,
"",,,,,Total,,1427,0,1427,3,,3
34,"34-Govt.Girls P/S RasulpuraNarowal(Female) (P)",,,Muhallah Rasool Pura,1.83E+08,,,527,527,,,
"",,,,Muhallah Rasool Pura,1.83E+08,,,401,401,,,
"",,,,Railway Station,1.83E+08,,,260,260,,,
"",,,,,Total,,,1188,1188,,2,2
35,"35-Govt.Boys P/S Panju ShahSaran(Male) (P)",,,City police station,1.83E+08,,501,,501,,,
"",,,,Office Civil Defence,1.83E+08,,836,,836,,,
"",,,,,Total,,1337,,1337,3,,3
36,"36-Govt. Girls P/S Panju Shah Saran-Ralway road Narowal (Female)  (P)",,,City police station,1.83E+08,,,438,438,,,
"",,,,Office Civil Defence,1.83E+08,,,736,736,,,
"",,,,,Total,,,1174,1174,,2,2
37,"37-Govt. Boys Primary School No.2Islampura(Male)",,,Masjid Aray Wali,1.83E+08,,1111,,1111,,,
"",,,,"Javed Hotel MohallahMuhammad pura",1.83E+08,,343,,343,,,
"",,,,"Javed Hotel MohallahMuhammad pura",1.83E+08,,520,,520,,,
"",,,,,Total,,1974,,1974,4,,4
38,"38-Govt. Jinnah Girls P/S Near WaterWorks Islampura (Female) (P)",,,Masjid Aray Wali,1.83E+08,,,951,951,,,
"",,,,"Javed Hotel MohallahMuhammad pura",1.83E+08,,,317,317,,,
"",,,,"Javed Hotel MohallahMuhammad pura",1.83E+08,,,251,251,,,
39,"39-CMS Mission High School Narowal(Male) (P)",,,Tehsil Office,1.83E+08,,95,,95,,,
"",,,,"Muhalla Ganj Hussainabad",1.83E+08,,1063,,1063,,,
"",,,,"Muhalla Ganj Hussainabad",1.83E+08,,467,,467,,,
"",,,,"Arhat Malik Kala &Sultan Gujar",1.83E+08,,20,,20,,,
"",,,,,Total,,1645,,1645,4,,4
40,"40-Govt. Boys P/S Amin ColonyNarowal (Female) (P)",,,Tehsil Office,1.83E+08,,,144,144,,,
"",,,,"Muhalla Ganj Hussainabad",1.83E+08,,,847,847,,,
"",,,,"Muhalla Ganj Hussainabad",1.83E+08,,,387,387,,,
"",,,,"Arhat Malik Kala &Sultan Gujar",1.83E+08,,,13,13,,,
"",,,,,Total,,,1391,1391,,3,3
41,"41-Govt. Boys P/S Gunj HussainAbad(Male) (P)",,,"Gali Usman Nazim WaliMuhallah Gnj HussainAbad",1.83E+08,,372,,372,,,
"",,,,"Gali Usman Nazim WaliMuhallah Gnj HussainAbad",1.83E+08,,210,,210,,,
"",,,,"Manik Road MuhallahGanj Hussain Abad",1.83E+08,,261,,261,,,
"",,,,"Gali Malik YaseenConsilar",1.83E+08,,925,,925,,,
"",,,,,Total,,1768,,1768,4,,4
42,"42-Govt.Girls P/S Gunj HussainAbad(Female) (P)",,,"Gali Usman Nazim WaliMuhallah Gnj HussainAbad",1.83E+08,,,302,302,,,
"",,,,"Gali Usman Nazim WaliMuhallah Gnj HussainAbad",1.83E+08,,,188,188,,,
"",,,,"Manik Road MuhallahGanj Hussain Abad",1.83E+08,,,192,192,,,
"",,,,"Gali Maqlik YaseenConsilar",1.83E+08,,,682,682,,,
"",,,,,Total,,,1364,1364,,3,3
43,"43-Govt. Islamia H/S Badomalhi (Male)(P)",,,"Nawan Pind BaddoMalhi",1.83E+08,,429,,429,,,
"",,,,"Nawan Pind BaddoMalhi",1.83E+08,,237,,237,,,
"",,,,Gali Mandar Wali,1.83E+08,,509,,509,,,
"",,,,"Darbar Sharif Ali AkbarShah Shab",1.83E+08,,158,,158,,,
44,"44-Govt. Islamia H/S Baddomalhi(Female) (P)",,,"Nawan Pind BaddoMalhi",1.83E+08,,,298,298,,,
"",,,,"Nawan Pind BaddoMalhi",1.83E+08,,,200,200,,,
"",,,,Gali Mandar Wali,1.83E+08,,,423,423,,,
"",,,,"Darbar Sharif Ali AkbarShah Shab",1.83E+08,,,119,119,,,
"",,,,,Total,,,1040,1040,,2,2
45,"45-Govt. Girls H/S Baddomalhi (Male)(P)",,,Muhallah Ansarian,1.83E+08,,973,,973,,,
"",,,,"Chungi MandiChamarangan",1.83E+08,,606,,606,,,
"",,,,Gali Masjad Balil Wali,1.83E+08,,227,,227,,,
"",,,,,Total,,1806,,1806,3,,3
46,"46-Govt. Girls H/S Baddomalhi(Female)(P)",,,Muhallah Ansarian,1.83E+08,,,770,770,,,
"",,,,"Chungi MandiChamarangan",1.83E+08,,,465,465,,,
"",,,,Gali Masjad Balil Wali,1.83E+08,,,186,186,,,
"",,,,,Total,,,1421,1421,,3,3
47,"47-Govt. Muslim H/SBaddomalhi(Male)(P)",,,"Gali Coommittee GarhWali",1.83E+08,,281,,281,,,
"",,,,Abu Talib Ali Masjid,1.83E+08,,225,,225,,,
"",,,,Masjad Noor Wali Gali,1.83E+08,,125,,125,,,
"",,,,"Gali Madrassa WaliNoori",1.83E+08,,215,,215,,,
"",,,,Muhallaha Sardar Khan,1.83E+08,,249,,249,,,
"",,,,Gali Sheikhan Wali,1.83E+08,,329,,329,,,
"",,,,,Total,,1424,,1424,3,,3
48,"48-Govt. Muslim H/SBaddomalhi(Female)  (P)",,,"Gali Coommittee GarhWali",1.83E+08,,,246,246,,,
"",,,,Abu Talib Ali Masjid,1.83E+08,,,209,209,,,
"",,,,Masjad Noor Wali Gali,1.83E+08,,,94,94,,,
"",,,,"Gali Madrassa WaliNoori",1.83E+08,,,183,183,,,
