"",Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,,Chak No. 286/RB,202011305,,,,0,258,258,,,
"",Total,,,,0,1108,1108,0,2,2,,,
"",71,"Govt. G/High/S IslamPura",,,Islam Pura,202020101,,805,610,1415,2,1,3
"",Total,,,,805,610,1415,2,1,3,,,
"",72,"Govt. G/High/S IslamPura  (Male)",,,Islam Pura,202020102,,1382,0,1382,3,0,3
"",Total,,,,1382,0,1382,3,0,3,,,
"",73,"Govt. G/High/S IslamPura (Female)",,,Islam Pura,202020102,,0,1023,1023,0,2,2
"",Total,,,,0,1023,1023,0,2,2,,,
"",74,"Govt. Girls/E/S AhmadAbad     Sangla Hill(Male)",,,"Muhallah Ahmad Abad Nai AbadiAhmad Abad",202020103,,753,0,753,3,0,3
"",,,,,"Muhallah Ahmad Abad Nai AbadiAhmad Abad",202020107,,423,0,423,,,
"",,,,,"Muhallah Ahmad Abad Nai AbadiAhmad Abad",202020104,,360,0,360,,,
"",Total,,,,1536,0,1536,3,0,3,,,
"",75,"Govt. Girls/E/S AhmadPura (Female)",,,"Muhallah Ahmad Abad Nai AbadiAhmad Abad",202020103,,0,586,586,0,2,2
"",,,,,"Muhallah Ahmad Abad Nai AbadiAhmad Abad",202020107,,0,350,350,,,
"",,,,,"Muhallah Ahmad Abad Nai AbadiAhmad Abad",202020104,,0,293,293,,,
"",Total,,,,0,1229,1229,0,2,2,,,
"",76,"Govt. B/P/S Ahmadabad  (Male)",,,Faiz abad Ahmad abad,202020105,,610,0,610,2,0,2
"",,,,,Faiz abad Ahmad abad,202020106,,393,0,393,,,
"",Total,,,,1003,0,1003,2,0,2,,,
"",77,"Govt. B/P/S Ahmadabad  (Female)",,,Faiz abad Ahmad abad,202020105,,0,524,524,0,2,2
"",,Faiz abad Ahmad abad,202020106,,0,272,272,,,,,,
"",78,"Govt. H/S No. 1 BBlock Near HussainTrust Hospital",,,"Galla Mandi Sabzi Mandi RailwayRoad Municipal Committee",202020201,,56,40,96,1,1,2
"",,,,,"Galla Mandi Sabzi Mandi RailwayRoad Municipal Committee",202020202,,157,138,295,,,
"",,,,,"Galla Mandi Sabzi Mandi RailwayRoad Municipal Committee",202020203,,205,173,378,,,
"",,,,,"Galla Mandi Sabzi Mandi RailwayRoad Municipal Committee",202020204,,65,46,111,,,
"",Total,,,,483,397,880,1,1,2,,,
"",79,"Govt. Boys E/SChuhoor Sikhan(Male)",,,Muhallah Sheikhan,202020301,,372,0,372,3,0,3
"",,,,,Muhallah Sheikhan,202020302,,487,0,487,,,
"",,,,,"Muhallah Chuhoor Shikhan GliMPA wali No.3",202020303,,194,0,194,,,
"",,,,,Sangla Hill MC,202020304,,207,0,207,,,
"",,,,,Sangla Hill MC,202020305,,163,0,163,,,
"",Total,,,,1423,0,1423,3,0,3,,,
"",80,"Govt. Boys E/SChuhoor Sikhan(Female)",,,Muhallah Sheikhan,202020301,,0,307,307,0,2,2
"",,,,,Muhallah Sheikhan,202020302,,0,434,434,,,
"",,,,,"Muhallah Chuhoor Shikhan GliMPA wali No.3",202020303,,0,154,154,,,
"",,,,,Sangla Hill MC,202020304,,0,167,167,,,
"",,,,,Sangla Hill MC,202020305,,0,137,137,,,
"",Total,,,,0,1199,1199,0,2,2,,,
"",81,"Civil Hospital SanglaHill (Male)",,,Model town Purana Chuhoor,2  0  2  0  2  0  4  0  1,,175,0,175,2,0,2
"",,,,,Model town Purana Chuhoor,2  0  2  0  2  0  4  0  2,,452,0,452,,,
"",,,,,Model town Purana Chuhoor,2  0  2  0  2  0  4  0  3,,587,0,587,,,
"",Total,,,,1214,0,1214,2,0,2,,,
"",82,"Govt. Vet HospitalSangla Hill (Female)",,,Model town Purana Chuhoor,2  0  2  0  2  0  4  0  1,,0,159,159,0,2,2
"",,,,,Model town Purana Chuhoor,2  0  2  0  2  0  4  0  2,,0,387,387,,,
"",,,,,Model town Purana Chuhoor,2  0  2  0  2  0  4  0  3,,0,532,532,,,
